#Median black hole mass (Mbh_median) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh_median)@log(Mpeak)=12 log10(Mbh_median)_16@log(Mpeak)=12 log10(Mbh_median)_84@log(Mpeak)=12 log10(Mbh_median)@log(Mpeak)=13 log10(Mbh_median)_16@log(Mpeak)=13 log10(Mbh_median)_84@log(Mpeak)=13 log10(Mbh_median)@log(Mpeak)=14 log10(Mbh_median)_16@log(Mpeak)=14 log10(Mbh_median)_84@log(Mpeak)=14 log10(Mbh_median)@log(Mpeak)=15 log10(Mbh_median)_16@log(Mpeak)=15 log10(Mbh_median)_84@log(Mpeak)=15
6.298810 -0.897150 -1.464791 -0.544928 1.409664 0.977435 1.674680 3.341991 3.012276 3.530903 5.012228 4.782798 5.152843
6.281424 -0.861607 -1.425341 -0.511646 1.442399 1.014005 1.705091 3.372504 3.045869 3.560274 5.039992 4.813012 5.178718
6.264080 -0.826064 -1.385892 -0.478365 1.475133 1.050574 1.735503 3.403017 3.079463 3.589646 5.067756 4.843226 5.204592
6.246778 -0.792412 -1.348111 -0.446578 1.506062 1.084962 1.764388 3.431547 3.110881 3.617020 5.093999 4.871549 5.229179
6.229516 -0.759040 -1.310578 -0.415014 1.536723 1.119026 1.793046 3.459782 3.141976 3.644097 5.120015 4.899591 5.253573
6.212296 -0.725668 -1.273045 -0.383450 1.567384 1.153089 1.821705 3.488017 3.173071 3.671174 5.146032 4.927633 5.277968
6.195117 -0.692296 -1.235512 -0.351886 1.598046 1.187153 1.850363 3.516252 3.204166 3.698252 5.172048 4.955676 5.302363
6.177978 -0.658924 -1.197979 -0.320322 1.628707 1.221216 1.879022 3.544488 3.235261 3.725329 5.198065 4.983718 5.326757
6.160881 -0.625553 -1.160446 -0.288758 1.659368 1.255280 1.907680 3.572723 3.266356 3.752406 5.224081 5.011760 5.351152
6.143824 -0.591963 -1.122824 -0.256599 1.690437 1.289272 1.937002 3.601510 3.297706 3.780013 5.250802 5.040356 5.376389
6.126807 -0.558010 -1.085054 -0.223449 1.722185 1.323144 1.967427 3.631215 3.329482 3.808501 5.278694 5.069875 5.403026
6.109832 -0.524058 -1.047284 -0.190300 1.753932 1.357016 1.997852 3.660919 3.361258 3.836989 5.306586 5.099393 5.429663
6.092897 -0.490105 -1.009514 -0.157150 1.785680 1.390888 2.028277 3.690624 3.393034 3.865477 5.334478 5.128911 5.456300
6.076002 -0.456152 -0.971745 -0.124001 1.817427 1.424761 2.058703 3.720328 3.424810 3.893965 5.362369 5.158429 5.482936
6.059147 -0.422200 -0.933975 -0.090851 1.849175 1.458633 2.089128 3.750033 3.456586 3.922453 5.390261 5.187947 5.509573
6.042332 -0.388247 -0.896205 -0.057702 1.880922 1.492505 2.119553 3.779738 3.488362 3.950941 5.418153 5.217465 5.536210
6.025558 -0.355918 -0.861120 -0.026133 1.911116 1.524728 2.148136 3.807992 3.518339 3.977968 5.444711 5.245741 5.561813
6.008823 -0.323810 -0.826400 0.005222 1.941100 1.556726 2.176470 3.836049 3.548072 4.004796 5.471088 5.273848 5.587276
5.992129 -0.291701 -0.791679 0.036576 1.971083 1.588725 2.204803 3.864107 3.577806 4.031624 5.497465 5.301956 5.612739
5.975474 -0.259593 -0.756959 0.067931 2.001067 1.620723 2.233137 3.892164 3.607539 4.058452 5.523841 5.330063 5.638202
5.958859 -0.227484 -0.722238 0.099286 2.031050 1.652722 2.261471 3.920222 3.637272 4.085280 5.550218 5.358170 5.663665
5.942283 -0.195375 -0.687518 0.130641 2.061034 1.684720 2.289804 3.948280 3.667006 4.112108 5.576595 5.386277 5.689128
5.925747 -0.164022 -0.653606 0.161215 2.090237 1.715887 2.317549 3.975663 3.696026 4.138362 5.602134 5.413298 5.713840
5.909250 -0.133874 -0.620982 0.190544 2.118196 1.745729 2.344355 4.001973 3.723908 4.163702 5.626336 5.438588 5.737354
5.892793 -0.103726 -0.588358 0.219874 2.146156 1.775570 2.371161 4.028283 3.751790 4.189042 5.650538 5.463878 5.760868
5.876374 -0.073577 -0.555734 0.249204 2.174115 1.805411 2.397967 4.054593 3.779672 4.214383 5.674740 5.489167 5.784383
5.859995 -0.043429 -0.523110 0.278533 2.202075 1.835253 2.424773 4.080903 3.807555 4.239723 5.698942 5.514457 5.807897
5.843655 -0.013281 -0.490486 0.307863 2.230034 1.865094 2.451579 4.107213 3.835437 4.265063 5.723144 5.539747 5.831411
5.827354 0.016868 -0.457862 0.337193 2.257994 1.894936 2.478385 4.133522 3.863319 4.290403 5.747346 5.565036 5.854925
5.811091 0.045383 -0.427479 0.364509 2.284397 1.922956 2.503886 4.158392 3.890006 4.314334 5.770176 5.589150 5.876710
5.794868 0.073698 -0.397373 0.391577 2.310608 1.950753 2.529227 4.183084 3.916546 4.338093 5.792837 5.613118 5.898282
5.778683 0.102012 -0.367266 0.418646 2.336820 1.978549 2.554568 4.207777 3.943087 4.361851 5.815499 5.637087 5.919853
5.762536 0.130327 -0.337159 0.445714 2.363032 2.006346 2.579909 4.232469 3.969627 4.385609 5.838160 5.661056 5.941425
5.746428 0.158642 -0.307052 0.472783 2.389244 2.034142 2.605249 4.257161 3.996167 4.409368 5.860821 5.685025 5.962997
5.730358 0.186957 -0.276945 0.499851 2.415455 2.061939 2.630590 4.281854 4.022707 4.433126 5.883482 5.708993 5.984569
5.714327 0.215059 -0.246658 0.526969 2.441558 2.088985 2.655915 4.306373 4.049289 4.456805 5.906229 5.733055 6.006332
5.698334 0.242838 -0.216093 0.554162 2.467492 2.114886 2.681214 4.330627 4.075937 4.480364 5.929106 5.757257 6.028389
5.682379 0.270617 -0.185529 0.581356 2.493427 2.140786 2.706514 4.354881 4.102585 4.503923 5.951984 5.781460 6.050447
5.666462 0.298396 -0.154965 0.608549 2.519361 2.166687 2.731813 4.379135 4.129233 4.527481 5.974861 5.805663 6.072504
5.650583 0.326175 -0.124401 0.635742 2.545296 2.192587 2.757113 4.403389 4.155881 4.551040 5.997738 5.829865 6.094561
5.634741 0.353954 -0.093837 0.662935 2.571230 2.218487 2.782412 4.427643 4.182528 4.574598 6.020616 5.854068 6.116618
5.618938 0.381733 -0.063273 0.690129 2.597165 2.244388 2.807711 4.451897 4.209176 4.598157 6.043493 5.878271 6.138675
5.603172 0.409199 -0.033550 0.716808 2.623023 2.271771 2.832712 4.476308 4.235067 4.621950 6.066716 5.902528 6.161212
5.587443 0.436631 -0.003920 0.743431 2.648874 2.299317 2.857679 4.500736 4.260874 4.645769 6.089978 5.926791 6.183801
5.571752 0.464062 0.025710 0.770054 2.674724 2.326864 2.882646 4.525164 4.286682 4.669588 6.113240 5.951055 6.206391
5.556099 0.491493 0.055340 0.796677 2.700574 2.354411 2.907613 4.549592 4.312489 4.693407 6.136502 5.975318 6.228981
5.540482 0.518925 0.084970 0.823300 2.726424 2.381957 2.932580 4.574020 4.338296 4.717226 6.159763 5.999581 6.251571
5.524903 0.546356 0.114600 0.849922 2.752274 2.409504 2.957547 4.598448 4.364103 4.741045 6.183025 6.023844 6.274160
5.509361 0.573150 0.143792 0.875801 2.777502 2.436788 2.981807 4.622294 4.389136 4.764198 6.205700 6.047189 6.296191
5.493856 0.599009 0.172344 0.900588 2.801819 2.463686 3.005031 4.645286 4.413033 4.786373 6.227515 6.069186 6.317401
5.478388 0.624868 0.200895 0.925374 2.826135 2.490584 3.028254 4.668279 4.436929 4.808548 6.249329 6.091182 6.338612
5.462957 0.650727 0.229446 0.950161 2.850452 2.517483 3.051478 4.691271 4.460826 4.830723 6.271144 6.113179 6.359822
5.447563 0.676585 0.257998 0.974947 2.874769 2.544381 3.074701 4.714264 4.484722 4.852897 6.292958 6.135175 6.381032
5.432205 0.702444 0.286549 0.999734 2.899085 2.571279 3.097925 4.737257 4.508619 4.875072 6.314773 6.157172 6.402243
5.416884 0.728303 0.315101 1.024521 2.923402 2.598177 3.121148 4.760249 4.532516 4.897247 6.336587 6.179169 6.423453
5.401599 0.752806 0.341910 1.047392 2.946319 2.623779 3.143570 4.782033 4.555738 4.917971 6.356807 6.200879 6.442698
5.386351 0.777176 0.368548 1.070074 2.969098 2.649252 3.165912 4.803697 4.578895 4.938552 6.376869 6.222560 6.461749
5.371139 0.801545 0.395186 1.092757 2.991877 2.674726 3.188255 4.825361 4.602051 4.959133 6.396932 6.244242 6.480800
5.355963 0.825915 0.421824 1.115439 3.014656 2.700200 3.210597 4.847026 4.625208 4.979714 6.416994 6.265923 6.499851
5.340823 0.850285 0.448462 1.138121 3.037435 2.725673 3.232939 4.868690 4.648365 5.000295 6.437056 6.287605 6.518902
5.325720 0.874654 0.475100 1.160804 3.060214 2.751147 3.255282 4.890354 4.671521 5.020876 6.457118 6.309287 6.537953
5.310652 0.898686 0.501365 1.183189 3.082708 2.776236 3.277196 4.911853 4.694715 5.041314 6.477099 6.330802 6.557111
5.295621 0.922241 0.527106 1.205155 3.104802 2.800782 3.298506 4.933119 4.717962 5.061553 6.496964 6.352085 6.576419
5.280625 0.945797 0.552846 1.227122 3.126896 2.825329 3.319817 4.954385 4.741209 5.081792 6.516829 6.373367 6.595727
5.265665 0.969352 0.578587 1.249088 3.148989 2.849875 3.341128 4.975650 4.764456 5.102031 6.536695 6.394649 6.615035
5.250740 0.992907 0.604328 1.271055 3.171083 2.874422 3.362438 4.996916 4.787703 5.122270 6.556560 6.415931 6.634343
5.235851 1.016463 0.630069 1.293021 3.193176 2.898968 3.383749 5.018182 4.810950 5.142509 6.576425 6.437213 6.653651
5.220998 1.040018 0.655809 1.314988 3.215270 2.923514 3.405059 5.039447 4.834197 5.162748 6.596290 6.458496 6.672959
5.206180 1.063667 0.681727 1.337142 3.237756 2.948502 3.426362 5.060979 4.857432 5.183216 6.616996 6.481459 6.693292
5.191397 1.087324 0.707659 1.359313 3.260276 2.973529 3.447665 5.082535 4.880667 5.203704 6.637774 6.504569 6.713714
5.176649 1.110981 0.733592 1.381484 3.282796 2.998555 3.468967 5.104090 4.903901 5.224192 6.658552 6.527678 6.734136
5.161937 1.134638 0.759525 1.403654 3.305316 3.023581 3.490269 5.125645 4.927136 5.244680 6.679330 6.550787 6.754558
5.147259 1.158295 0.785457 1.425825 3.327836 3.048607 3.511571 5.147201 4.950370 5.265168 6.700108 6.573897 6.774980
5.132617 1.181952 0.811390 1.447996 3.350356 3.073633 3.532874 5.168756 4.973605 5.285656 6.720886 6.597006 6.795402
5.118009 1.205056 0.836891 1.470313 3.372336 3.098066 3.553606 5.189801 4.996183 5.305575 6.741205 6.619036 6.815140
5.103437 1.227412 0.861807 1.492829 3.393588 3.121695 3.573567 5.210157 5.017873 5.324725 6.760904 6.639605 6.833952
5.088898 1.249768 0.886724 1.515345 3.414839 3.145325 3.593529 5.230512 5.039564 5.343874 6.780603 6.660174 6.852765
5.074395 1.272124 0.911641 1.537861 3.436091 3.168955 3.613490 5.250868 5.061255 5.363024 6.800302 6.680744 6.871577
5.059926 1.294480 0.936557 1.560376 3.457343 3.192585 3.633452 5.271224 5.082946 5.382174 6.820001 6.701313 6.890390
5.045492 1.316836 0.961474 1.582892 3.478594 3.216214 3.653413 5.291579 5.104636 5.401323 6.839700 6.721882 6.909202
5.031092 1.339192 0.986391 1.605408 3.499846 3.239844 3.673375 5.311935 5.126327 5.420473 6.859398 6.742452 6.928014
5.016726 1.360396 1.010535 1.626576 3.519986 3.262246 3.692890 5.331284 5.147764 5.438892 6.877945 6.761649 6.946128
5.002394 1.381512 1.034622 1.647644 3.540043 3.284555 3.712371 5.350557 5.169182 5.457257 6.896404 6.780743 6.964190
4.988097 1.402629 1.058709 1.668711 3.560100 3.306864 3.731853 5.369830 5.190600 5.475621 6.914864 6.799838 6.982251
4.973834 1.423746 1.082796 1.689778 3.580157 3.329173 3.751334 5.389103 5.212017 5.493985 6.933324 6.818932 7.000313
4.959604 1.444863 1.106883 1.710845 3.600214 3.351483 3.770815 5.408376 5.233435 5.512350 6.951783 6.838026 7.018374
4.945409 1.465980 1.130970 1.731913 3.620271 3.373792 3.790297 5.427649 5.254853 5.530714 6.970243 6.857121 7.036436
4.931247 1.486901 1.154814 1.752297 3.640209 3.395946 3.809630 5.446892 5.276284 5.549100 6.988519 6.875996 7.054022
4.917119 1.507568 1.178341 1.771795 3.659993 3.417897 3.828771 5.466097 5.297731 5.567513 7.006556 6.894585 7.070992
4.903025 1.528234 1.201869 1.791293 3.679777 3.439849 3.847912 5.485301 5.319179 5.585926 7.024593 6.913175 7.087962
4.888964 1.548901 1.225397 1.810791 3.699561 3.461801 3.867053 5.504505 5.340627 5.604340 7.042630 6.931765 7.104932
4.874937 1.569568 1.248925 1.830289 3.719345 3.483753 3.886193 5.523709 5.362075 5.622753 7.060667 6.950354 7.121902
4.860943 1.590235 1.272453 1.849787 3.739128 3.505704 3.905334 5.542914 5.383522 5.641166 7.078705 6.968944 7.138872
4.846983 1.610901 1.295981 1.869285 3.758912 3.527656 3.924475 5.562118 5.404970 5.659579 7.096742 6.987534 7.155843
4.833055 1.631562 1.319417 1.888739 3.778784 3.549631 3.944148 5.581765 5.426578 5.678526 7.115369 7.007144 7.173756
4.819161 1.652222 1.342847 1.908190 3.798660 3.571607 3.963856 5.601440 5.448196 5.697507 7.134034 7.026819 7.191729
4.805301 1.672882 1.366278 1.927642 3.818537 3.593582 3.983563 5.621114 5.469814 5.716488 7.152699 7.046494 7.209702
4.791473 1.693542 1.389708 1.947093 3.838414 3.615558 4.003270 5.640789 5.491432 5.735469 7.171363 7.066169 7.227675
4.777678 1.714202 1.413139 1.966545 3.858291 3.637534 4.022978 5.660464 5.513050 5.754450 7.190028 7.085845 7.245648
4.763915 1.734862 1.436569 1.985996 3.878168 3.659510 4.042685 5.680139 5.534668 5.773431 7.208693 7.105520 7.263621
4.750186 1.755023 1.459431 2.005426 3.897557 3.680949 4.061909 5.699263 5.555284 5.791921 7.226958 7.124409 7.281461
4.736489 1.774561 1.481585 2.024827 3.916337 3.701717 4.080532 5.717700 5.574649 5.809798 7.244724 7.142319 7.299133
4.722825 1.794100 1.503739 2.044229 3.935117 3.722486 4.099154 5.736138 5.594014 5.827676 7.262490 7.160228 7.316805
4.709194 1.813638 1.525892 2.063630 3.953897 3.743254 4.117777 5.754575 5.613379 5.845553 7.280256 7.178137 7.334477
4.695595 1.833177 1.548046 2.083032 3.972677 3.764023 4.136399 5.773012 5.632745 5.863431 7.298022 7.196047 7.352150
4.682028 1.852716 1.570200 2.102434 3.991457 3.784791 4.155021 5.791449 5.652110 5.881308 7.315788 7.213956 7.369822
4.668494 1.872254 1.592354 2.121835 4.010237 3.805560 4.173644 5.809887 5.671475 5.899186 7.333554 7.231866 7.387494
4.654992 1.890770 1.612955 2.139804 4.028076 3.825201 4.190866 5.827316 5.689752 5.916034 7.350549 7.249587 7.403818
4.641522 1.909233 1.633474 2.157697 4.045865 3.844784 4.208014 5.844692 5.707971 5.932828 7.367503 7.267299 7.420071
4.628084 1.927695 1.653993 2.175590 4.063654 3.864366 4.225162 5.862068 5.726190 5.949622 7.384458 7.285011 7.436324
4.614678 1.946158 1.674512 2.193483 4.081443 3.883949 4.242310 5.879444 5.744409 5.966416 7.401413 7.302722 7.452577
4.601305 1.964620 1.695031 2.211376 4.099232 3.903531 4.259458 5.896820 5.762629 5.983209 7.418367 7.320434 7.468831
4.587962 1.983083 1.715550 2.229269 4.117022 3.923113 4.276606 5.914196 5.780848 6.000003 7.435322 7.338146 7.485084
4.574652 2.001618 1.736133 2.247239 4.135004 3.942790 4.293937 5.931881 5.799515 6.017167 7.452470 7.355744 7.501789
4.561374 2.020242 1.756794 2.265303 4.153218 3.962578 4.311486 5.949934 5.818719 6.034775 7.469849 7.373207 7.519036
4.548127 2.038865 1.777454 2.283367 4.171432 3.982366 4.329035 5.967988 5.837922 6.052383 7.487228 7.390670 7.536284
4.534911 2.057488 1.798114 2.301431 4.189645 4.002154 4.346584 5.986041 5.857126 6.069991 7.504607 7.408133 7.553531
4.521728 2.076111 1.818775 2.319495 4.207859 4.021943 4.364133 6.004094 5.876329 6.087598 7.521987 7.425596 7.570779
4.508575 2.094735 1.839435 2.337559 4.226073 4.041731 4.381682 6.022148 5.895533 6.105206 7.539366 7.443058 7.588026
4.495454 2.113358 1.860096 2.355623 4.244287 4.061519 4.399231 6.040201 5.914736 6.122814 7.556745 7.460521 7.605274
4.482364 2.131524 1.880211 2.373429 4.262167 4.080683 4.416248 6.058066 5.933123 6.140216 7.573196 7.477220 7.621579
4.469305 2.149672 1.900303 2.391224 4.280033 4.099821 4.433244 6.075923 5.951476 6.157610 7.589609 7.493887 7.637845
4.456278 2.167819 1.920395 2.409019 4.297898 4.118959 4.450239 6.093779 5.969829 6.175003 7.606021 7.510554 7.654111
4.443281 2.185966 1.940488 2.426814 4.315764 4.138097 4.467235 6.111636 5.988181 6.192397 7.622434 7.527221 7.670377
4.430316 2.204114 1.960580 2.444609 4.333630 4.157235 4.484230 6.129493 6.006534 6.209791 7.638846 7.543888 7.686643
4.417381 2.222261 1.980672 2.462404 4.351496 4.176372 4.501226 6.147349 6.024886 6.227184 7.655258 7.560556 7.702909
4.404477 2.239977 2.000227 2.479795 4.368948 4.195193 4.517485 6.164838 6.043175 6.244230 7.671289 7.576851 7.718682
4.391604 2.257195 2.019162 2.496719 4.385923 4.213648 4.532895 6.181904 6.061389 6.260874 7.686879 7.592719 7.733888
4.378761 2.274413 2.038098 2.513644 4.402898 4.232103 4.548306 6.198969 6.079603 6.277518 7.702469 7.608586 7.749093
4.365949 2.291632 2.057034 2.530568 4.419873 4.250558 4.563717 6.216035 6.097817 6.294162 7.718060 7.624454 7.764299
4.353168 2.308850 2.075969 2.547493 4.436848 4.269013 4.579127 6.233100 6.116031 6.310806 7.733650 7.640321 7.779505
4.340417 2.326069 2.094905 2.564418 4.453823 4.287468 4.594538 6.250165 6.134245 6.327450 7.749240 7.656189 7.794710
4.327696 2.343287 2.113841 2.581342 4.470798 4.305923 4.609949 6.267231 6.152459 6.344094 7.764831 7.672056 7.809916
4.315006 2.359940 2.132131 2.597598 4.487215 4.323738 4.625709 6.283981 6.170582 6.360446 7.780088 7.687770 7.825320
4.302346 2.376576 2.150401 2.613833 4.503615 4.341534 4.641481 6.300721 6.188703 6.376789 7.795335 7.703479 7.840730
4.289716 2.393211 2.168671 2.630068 4.520015 4.359330 4.657253 6.317462 6.206823 6.393131 7.810582 7.719188 7.856140
4.277116 2.409847 2.186941 2.646303 4.536415 4.377126 4.673025 6.334202 6.224944 6.409474 7.825829 7.734898 7.871550
4.264546 2.426482 2.205211 2.662538 4.552815 4.394922 4.688797 6.350942 6.243064 6.425817 7.841077 7.750607 7.886960
4.252006 2.443118 2.223482 2.678773 4.569214 4.412717 4.704569 6.367683 6.261185 6.442159 7.856324 7.766316 7.902371
4.239496 2.459888 2.241879 2.695038 4.585857 4.430822 4.720580 6.384569 6.279227 6.458646 7.871934 7.782326 7.918029
4.227016 2.476806 2.260418 2.711334 4.602769 4.449268 4.736858 6.401618 6.297182 6.475294 7.887948 7.798671 7.933961
4.214566 2.493724 2.278957 2.727631 4.619681 4.467714 4.753135 6.418667 6.315137 6.491942 7.903961 7.815016 7.949893
4.202145 2.510642 2.297496 2.743927 4.636592 4.486160 4.769413 6.435715 6.333092 6.508589 7.919974 7.831360 7.965825
4.189754 2.527560 2.316035 2.760224 4.653504 4.504606 4.785690 6.452764 6.351048 6.525237 7.935987 7.847705 7.981758
4.177392 2.544479 2.334573 2.776520 4.670416 4.523052 4.801968 6.469812 6.369003 6.541884 7.952000 7.864049 7.997690
4.165060 2.561397 2.353112 2.792817 4.687328 4.541498 4.818245 6.486861 6.386958 6.558532 7.968013 7.880394 8.013622
4.152757 2.577493 2.370764 2.808223 4.703481 4.558973 4.833946 6.503205 6.403936 6.574728 7.983026 7.895763 8.028206
4.140483 2.593573 2.388398 2.823611 4.719619 4.576428 4.849635 6.519535 6.420893 6.590914 7.998018 7.911111 8.042762
4.128239 2.609652 2.406031 2.839000 4.735756 4.593883 4.865323 6.535865 6.437851 6.607100 8.013010 7.926459 8.057318
4.116023 2.625732 2.423665 2.854388 4.751894 4.611338 4.881012 6.552194 6.454808 6.623286 8.028003 7.941808 8.071873
4.103837 2.641811 2.441298 2.869776 4.768031 4.628794 4.896701 6.568524 6.471766 6.639473 8.042995 7.957156 8.086429
4.091680 2.657890 2.458932 2.885164 4.784169 4.646249 4.912389 6.584854 6.488724 6.655659 8.057987 7.972504 8.100985
4.079552 2.673583 2.476148 2.900192 4.799951 4.663297 4.927885 6.600870 6.505402 6.671680 8.071674 7.986701 8.114289
4.067453 2.688866 2.492921 2.914838 4.815354 4.679912 4.943176 6.616551 6.521784 6.687526 8.083973 7.999675 8.126261
4.055383 2.704148 2.509694 2.929484 4.830757 4.696527 4.958467 6.632232 6.538166 6.703372 8.096272 8.012648 8.138233
4.043341 2.719430 2.526467 2.944130 4.846160 4.713142 4.973758 6.647913 6.554549 6.719218 8.108570 8.025622 8.150205
4.031328 2.734712 2.543240 2.958776 4.861563 4.729757 4.989049 6.663594 6.570931 6.735064 8.120869 8.038595 8.162177
4.019344 2.749994 2.560013 2.973422 4.876966 4.746373 5.004340 6.679275 6.587313 6.750910 8.133168 8.051569 8.174150
4.007388 2.765276 2.576786 2.988068 4.892370 4.762988 5.019631 6.694956 6.603695 6.766755 8.145467 8.064542 8.186122
3.995460 2.780966 2.593958 3.002602 4.908476 4.780230 5.035473 6.711564 6.621099 6.783046 8.158444 8.078417 8.198891
3.983561 2.796660 2.611135 3.017135 4.924589 4.797478 5.051321 6.728182 6.638513 6.799342 8.171429 8.092301 8.211668
3.971691 2.812354 2.628311 3.031668 4.940702 4.814727 5.067170 6.744801 6.655928 6.815638 8.184413 8.106185 8.224446
3.959849 2.828048 2.645487 3.046201 4.956816 4.831976 5.083018 6.761419 6.673342 6.831933 8.197397 8.120069 8.237223
3.948034 2.843742 2.662664 3.060734 4.972929 4.849225 5.098866 6.778037 6.690757 6.848229 8.210382 8.133953 8.250001
3.936248 2.859436 2.679840 3.075266 4.989042 4.866473 5.114714 6.794655 6.708171 6.864524 8.223366 8.147837 8.262778
3.924491 2.874828 2.696687 3.089767 5.004887 4.883341 5.130142 6.811041 6.725302 6.880657 8.235991 8.161114 8.275026
3.912761 2.889909 2.713198 3.104233 5.020458 4.899819 5.145140 6.827190 6.742142 6.896622 8.248247 8.173771 8.286733
3.901059 2.904991 2.729710 3.118700 5.036028 4.916297 5.160137 6.843339 6.758982 6.912588 8.260504 8.186428 8.298439
3.889385 2.920073 2.746221 3.133167 5.051599 4.932774 5.175135 6.859488 6.775822 6.928553 8.272761 8.199085 8.310146
3.877738 2.935155 2.762732 3.147634 5.067170 4.949252 5.190133 6.875637 6.792662 6.944518 8.285017 8.211743 8.321853
3.866120 2.950237 2.779243 3.162101 5.082740 4.965730 5.205130 6.891786 6.809503 6.960484 8.297274 8.224400 8.333559
3.854529 2.965319 2.795754 3.176567 5.098311 4.982208 5.220128 6.907935 6.826343 6.976449 8.309531 8.237057 8.345266
3.842966 2.979688 2.811571 3.189772 5.113221 4.998489 5.234605 6.923469 6.842401 6.991196 8.320957 8.248575 8.356411
3.831430 2.994057 2.827387 3.202976 5.128132 5.014770 5.249081 6.939002 6.858459 7.005942 8.332383 8.260094 8.367555
3.819922 3.008425 2.843203 3.216180 5.143042 5.031051 5.263557 6.954535 6.874516 7.020688 8.343809 8.271612 8.378700
3.808441 3.022794 2.859019 3.229384 5.157952 5.047332 5.278034 6.970068 6.890574 7.035433 8.355235 8.283130 8.389845
3.796988 3.037163 2.874835 3.242588 5.172862 5.063612 5.292510 6.985601 6.906632 7.050179 8.366661 8.294648 8.400989
3.785561 3.051531 2.890651 3.255792 5.187772 5.079893 5.306986 7.001134 6.922690 7.064925 8.378087 8.306166 8.412134
3.774162 3.065992 2.906487 3.269714 5.202829 5.096051 5.321486 7.016579 6.938665 7.080033 8.389646 8.317975 8.423554
3.762791 3.080543 2.922341 3.284342 5.218031 5.112088 5.336009 7.031938 6.954559 7.095496 8.401336 8.330071 8.435243
3.751446 3.095094 2.938196 3.298969 5.233233 5.128124 5.350532 7.047297 6.970454 7.110958 8.413026 8.342167 8.446933
3.740128 3.109645 2.954050 3.313596 5.248435 5.144161 5.365054 7.062656 6.986348 7.126421 8.424716 8.354262 8.458622
3.728837 3.124196 2.969905 3.328224 5.263637 5.160198 5.379577 7.078014 7.002242 7.141884 8.436406 8.366358 8.470312
3.717574 3.138747 2.985760 3.342851 5.278839 5.176234 5.394099 7.093373 7.018137 7.157347 8.448096 8.378454 8.482001
3.706337 3.153294 3.001614 3.357467 5.294038 5.192260 5.408620 7.108730 7.034025 7.172806 8.459762 8.390521 8.493666
3.695126 3.167463 3.017486 3.370882 5.308996 5.207108 5.422926 7.123858 7.049289 7.187878 8.468985 8.399618 8.502737
3.683943 3.181633 3.033357 3.384298 5.323953 5.221956 5.437231 7.138986 7.064553 7.202950 8.478207 8.408714 8.511809
3.672786 3.195802 3.049229 3.397713 5.338911 5.236804 5.451537 7.154114 7.079817 7.218022 8.487429 8.417811 8.520880
3.661655 3.209971 3.065101 3.411129 5.353868 5.251652 5.465842 7.169242 7.095081 7.233094 8.496652 8.426907 8.529951
3.650552 3.224140 3.080972 3.424544 5.368826 5.266500 5.480148 7.184370 7.110345 7.248166 8.505874 8.436003 8.539022
3.639474 3.238310 3.096844 3.437960 5.383784 5.281347 5.494453 7.199498 7.125609 7.263238 8.515096 8.445100 8.548094
3.628423 3.252145 3.112221 3.451371 5.398449 5.296358 5.508549 7.214324 7.140607 7.278039 8.523464 8.453278 8.556555
3.617399 3.265666 3.127131 3.464779 5.412840 5.311521 5.522448 7.228866 7.155353 7.292585 8.531024 8.460589 8.564439
3.606400 3.279186 3.142041 3.478187 5.427230 5.326684 5.536346 7.243407 7.170099 7.307130 8.538585 8.467900 8.572324
3.595428 3.292706 3.156951 3.491594 5.441621 5.341847 5.550245 7.257949 7.184845 7.321676 8.546145 8.475211 8.580208
3.584482 3.306227 3.171861 3.505002 5.456011 5.357011 5.564144 7.272491 7.199591 7.336221 8.553706 8.482522 8.588093
3.573562 3.319747 3.186771 3.518410 5.470401 5.372174 5.578042 7.287032 7.214337 7.350767 8.561266 8.489833 8.595977
3.562668 3.333271 3.201688 3.531821 5.484800 5.387339 5.591949 7.301583 7.229097 7.365314 8.568829 8.497146 8.603855
3.551800 3.346986 3.216919 3.545424 5.499604 5.402591 5.606253 7.316596 7.244568 7.379926 8.576519 8.504568 8.611400
3.540958 3.360701 3.232150 3.559027 5.514409 5.417843 5.620557 7.331609 7.260040 7.394538 8.584208 8.511990 8.618945
3.530141 3.374416 3.247380 3.572630 5.529213 5.433094 5.634861 7.346622 7.275512 7.409151 8.591897 8.519413 8.626490
3.519351 3.388131 3.262611 3.586233 5.544018 5.448346 5.649165 7.361634 7.290983 7.423763 8.599586 8.526835 8.634035
3.508586 3.401846 3.277842 3.599836 5.558822 5.463598 5.663469 7.376647 7.306455 7.438376 8.607276 8.534257 8.641580
3.497847 3.415561 3.293073 3.613439 5.573627 5.478850 5.677773 7.391660 7.321926 7.452988 8.614965 8.541680 8.649125
3.487133 3.429113 3.307822 3.626807 5.588322 5.493958 5.692392 7.406549 7.337198 7.467693 8.622414 8.549112 8.656284
3.476445 3.442515 3.322135 3.639963 5.602917 5.508935 5.707296 7.421325 7.352289 7.482481 8.629644 8.556554 8.663093
3.465782 3.455918 3.336447 3.653118 5.617512 5.523913 5.722201 7.436101 7.367379 7.497270 8.636875 8.563996 8.669902
3.455145 3.469320 3.350759 3.666273 5.632108 5.538891 5.737106 7.450877 7.382470 7.512058 8.644105 8.571438 8.676711
