#Black hole mass function (BHMF) from z=0-10, from Trinity
#Ref: Zhang et al. (2021)
#z log(Mbh)[Msun] log(Number Density)[Mpc^-3 dex^-1] log(16-th Percentile of Number Density)[Mpc^-3 dex^-1] log(84-th Percentile of Number Density)[Mpc^-3 dex^-1]
0.500000 8.300000 -2.761080 -2.810279 -2.699812
0.500000 8.400000 -2.843710 -2.899438 -2.776747
0.500000 8.500000 -2.938631 -3.001594 -2.866835
0.500000 8.600000 -3.052816 -3.122167 -2.973812
0.500000 8.700000 -3.182257 -3.257489 -3.094926
0.500000 8.800000 -3.333086 -3.410881 -3.235647
0.500000 8.900000 -3.494956 -3.581128 -3.397044
0.500000 9.000000 -3.681337 -3.765382 -3.578957
0.500000 9.100000 -3.887042 -3.973498 -3.778436
0.500000 9.200000 -4.112319 -4.202719 -3.996236
0.500000 9.300000 -4.355643 -4.451716 -4.229385
0.500000 9.400000 -4.612611 -4.721305 -4.490048
0.500000 9.500000 -4.886978 -5.009247 -4.770580
0.500000 9.600000 -5.194188 -5.319440 -5.077262
0.500000 9.700000 -5.515476 -5.662172 -5.409204
0.500000 9.800000 -5.868990 -6.011177 -5.750070
0.500000 9.900000 -6.249256 -6.398950 -6.126758
0.500000 10.000000 -6.659573 -6.800019 -6.494378
0.500000 10.100000 -7.091568 -7.226456 -6.905983
0.500000 10.200000 -7.521761 -7.688603 -7.342475
0.500000 10.300000 -7.978119 -8.174683 -7.784848
0.500000 10.400000 -8.474728 -8.684559 -8.238895
0.500000 10.500000 -8.999168 -9.212429 -8.727081
1.000000 4.000000 -1.660367 -1.720773 -1.591853
1.000000 4.100000 -1.697394 -1.755971 -1.630946
1.000000 4.200000 -1.733552 -1.790610 -1.668951
1.000000 4.300000 -1.769434 -1.824687 -1.706379
1.000000 4.400000 -1.804999 -1.858204 -1.743413
1.000000 4.500000 -1.838801 -1.890934 -1.779957
1.000000 4.600000 -1.873070 -1.922984 -1.815215
1.000000 4.700000 -1.906913 -1.954404 -1.850371
1.000000 4.800000 -1.939682 -1.985290 -1.884275
1.000000 4.900000 -1.971841 -2.014995 -1.917933
1.000000 5.000000 -2.003387 -2.044102 -1.951094
1.000000 5.100000 -2.034320 -2.073638 -1.983123
1.000000 5.200000 -2.064645 -2.102816 -2.013986
1.000000 5.300000 -2.093903 -2.131340 -2.045080
1.000000 5.400000 -2.122260 -2.159314 -2.075157
1.000000 5.500000 -2.150247 -2.187378 -2.104649
1.000000 5.600000 -2.178894 -2.215352 -2.133623
1.000000 5.700000 -2.206645 -2.242772 -2.162077
1.000000 5.800000 -2.233423 -2.269461 -2.190676
1.000000 5.900000 -2.259990 -2.293817 -2.219274
1.000000 6.000000 -2.285944 -2.317458 -2.247166
1.000000 6.100000 -2.310705 -2.341667 -2.274329
1.000000 6.200000 -2.334552 -2.365236 -2.300013
1.000000 6.300000 -2.358385 -2.388119 -2.324967
1.000000 6.400000 -2.381471 -2.410093 -2.349428
1.000000 6.500000 -2.403417 -2.431238 -2.373169
1.000000 6.600000 -2.424120 -2.450483 -2.395652
1.000000 6.700000 -2.443940 -2.469633 -2.416432
1.000000 6.800000 -2.462871 -2.489025 -2.437332
1.000000 6.900000 -2.480742 -2.506961 -2.456488
1.000000 7.000000 -2.498086 -2.523279 -2.474927
1.000000 7.100000 -2.515063 -2.539704 -2.492321
1.000000 7.200000 -2.531129 -2.555971 -2.509796
1.000000 7.300000 -2.546898 -2.571170 -2.526745
1.000000 7.400000 -2.563737 -2.588090 -2.543509
1.000000 7.500000 -2.581265 -2.604643 -2.559903
1.000000 7.600000 -2.600957 -2.622956 -2.578641
1.000000 7.700000 -2.622852 -2.646987 -2.599291
1.000000 7.800000 -2.649426 -2.676696 -2.621934
1.000000 7.900000 -2.681942 -2.713087 -2.648873
1.000000 8.000000 -2.721015 -2.755285 -2.681328
1.000000 8.100000 -2.767804 -2.808288 -2.723254
1.000000 8.200000 -2.824905 -2.868783 -2.773695
1.000000 8.300000 -2.891597 -2.939786 -2.832883
1.000000 8.400000 -2.970042 -3.026281 -2.907512
1.000000 8.500000 -3.060248 -3.125824 -2.991259
1.000000 8.600000 -3.169190 -3.241394 -3.094083
1.000000 8.700000 -3.296174 -3.371067 -3.213080
1.000000 8.800000 -3.435527 -3.515968 -3.345614
1.000000 8.900000 -3.592878 -3.673367 -3.496599
1.000000 9.000000 -3.769341 -3.849151 -3.667072
1.000000 9.100000 -3.968890 -4.049531 -3.858091
1.000000 9.200000 -4.187775 -4.271560 -4.073653
1.000000 9.300000 -4.417600 -4.499627 -4.310515
1.000000 9.400000 -4.674702 -4.756209 -4.569749
1.000000 9.500000 -4.950187 -5.032379 -4.848951
1.000000 9.600000 -5.242891 -5.345182 -5.142143
1.000000 9.700000 -5.552224 -5.670821 -5.461246
1.000000 9.800000 -5.894891 -6.006258 -5.797913
1.000000 9.900000 -6.254483 -6.377654 -6.157849
1.000000 10.000000 -6.652268 -6.781854 -6.528539
1.000000 10.100000 -7.069194 -7.201176 -6.932521
1.000000 10.200000 -7.503320 -7.642672 -7.356104
1.000000 10.300000 -7.963730 -8.113500 -7.789841
1.000000 10.400000 -8.439661 -8.612181 -8.243069
1.000000 10.500000 -8.961303 -9.152676 -8.717507
2.000000 4.000000 -1.846969 -1.904603 -1.777422
2.000000 4.100000 -1.882414 -1.940226 -1.816061
2.000000 4.200000 -1.917711 -1.975440 -1.854477
2.000000 4.300000 -1.953025 -2.010468 -1.892397
2.000000 4.400000 -1.989676 -2.045525 -1.930569
2.000000 4.500000 -2.026474 -2.080827 -1.969419
2.000000 4.600000 -2.063259 -2.115837 -2.006952
2.000000 4.700000 -2.100430 -2.150480 -2.043043
2.000000 4.800000 -2.137553 -2.184695 -2.079751
2.000000 4.900000 -2.174440 -2.219530 -2.116425
2.000000 5.000000 -2.211090 -2.253900 -2.152873
2.000000 5.100000 -2.247580 -2.288069 -2.189124
2.000000 5.200000 -2.283997 -2.322331 -2.225179
2.000000 5.300000 -2.319096 -2.356482 -2.261039
2.000000 5.400000 -2.353353 -2.391076 -2.295475
2.000000 5.500000 -2.387557 -2.424634 -2.329578
2.000000 5.600000 -2.421303 -2.457608 -2.363477
2.000000 5.700000 -2.454389 -2.490781 -2.397231
2.000000 5.800000 -2.489011 -2.523762 -2.430966
2.000000 5.900000 -2.522312 -2.556498 -2.464603
2.000000 6.000000 -2.555346 -2.588988 -2.499798
2.000000 6.100000 -2.589036 -2.621228 -2.534927
2.000000 6.200000 -2.622336 -2.653213 -2.570032
2.000000 6.300000 -2.654920 -2.684833 -2.604861
2.000000 6.400000 -2.687146 -2.715912 -2.639398
2.000000 6.500000 -2.718533 -2.745767 -2.671672
2.000000 6.600000 -2.748850 -2.775409 -2.703040
2.000000 6.700000 -2.778841 -2.807434 -2.734447
2.000000 6.800000 -2.809100 -2.838300 -2.765603
2.000000 6.900000 -2.839156 -2.869458 -2.798713
2.000000 7.000000 -2.869512 -2.899028 -2.830708
2.000000 7.100000 -2.899383 -2.928822 -2.860738
2.000000 7.200000 -2.928707 -2.958671 -2.892889
2.000000 7.300000 -2.959562 -2.988705 -2.925119
2.000000 7.400000 -2.990766 -3.019932 -2.956496
2.000000 7.500000 -3.021506 -3.051014 -2.986163
2.000000 7.600000 -3.053262 -3.084338 -3.018024
2.000000 7.700000 -3.087051 -3.119759 -3.051577
2.000000 7.800000 -3.122785 -3.158755 -3.086023
2.000000 7.900000 -3.161692 -3.201492 -3.125723
2.000000 8.000000 -3.210216 -3.248382 -3.168556
2.000000 8.100000 -3.260650 -3.301260 -3.216628
2.000000 8.200000 -3.319811 -3.361326 -3.272252
2.000000 8.300000 -3.385857 -3.431565 -3.336747
2.000000 8.400000 -3.462662 -3.510703 -3.409871
2.000000 8.500000 -3.546573 -3.602798 -3.492143
2.000000 8.600000 -3.644041 -3.706042 -3.586283
2.000000 8.700000 -3.754584 -3.821950 -3.690685
2.000000 8.800000 -3.877527 -3.954293 -3.811001
2.000000 8.900000 -4.018262 -4.098721 -3.944690
2.000000 9.000000 -4.173571 -4.257472 -4.096342
2.000000 9.100000 -4.346065 -4.431549 -4.264218
2.000000 9.200000 -4.537541 -4.624085 -4.450528
2.000000 9.300000 -4.746267 -4.834310 -4.655160
2.000000 9.400000 -4.967338 -5.061434 -4.875977
2.000000 9.500000 -5.206978 -5.304928 -5.123056
2.000000 9.600000 -5.472438 -5.567647 -5.389690
2.000000 9.700000 -5.751776 -5.838623 -5.672971
2.000000 9.800000 -6.056335 -6.144288 -5.974724
2.000000 9.900000 -6.382102 -6.468906 -6.306044
