#Best-fitting galaxy quenched fractions from Trinity.
#z: 1.8
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] Quenched_Fraction
10.200000 0.160028
10.300000 0.181205
10.400000 0.204779
10.500000 0.235959
10.600000 0.271000
10.700000 0.305159
10.800000 0.339438
10.900000 0.379476
11.000000 0.417045
11.100000 0.452606
11.200000 0.486241
11.300000 0.519972
11.400000 0.561378
11.500000 0.590782
11.600000 0.615817
