#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "same mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
9.423652 11.400000 0.618354
9.423652 11.450000 0.614613
9.423652 11.500000 0.610872
9.369696 11.000000 0.640087
9.369696 11.050000 0.636139
9.369696 11.100000 0.632191
9.369696 11.150000 0.628274
9.369696 11.200000 0.624357
9.369696 11.250000 0.620440
9.369696 11.300000 0.616523
9.369696 11.350000 0.612811
9.369696 11.400000 0.609098
9.369696 11.450000 0.605385
9.369696 11.500000 0.601673
9.369696 11.550000 0.598407
9.316568 11.000000 0.631390
9.316568 11.050000 0.627469
9.316568 11.100000 0.623547
9.316568 11.150000 0.619669
9.316568 11.200000 0.615790
9.316568 11.250000 0.611911
9.316568 11.300000 0.608033
9.316568 11.350000 0.604371
9.316568 11.400000 0.600709
9.316568 11.450000 0.597046
9.316568 11.500000 0.593384
9.316568 11.550000 0.590181
9.263441 11.000000 0.622693
9.263441 11.050000 0.618798
9.263441 11.100000 0.614904
9.263441 11.150000 0.611063
9.263441 11.200000 0.607223
9.263441 11.250000 0.603382
9.263441 11.300000 0.599542
9.263441 11.350000 0.595931
9.263441 11.400000 0.592319
9.263441 11.450000 0.588708
9.263441 11.500000 0.585096
9.263441 11.550000 0.581956
9.210314 11.000000 0.613996
9.210314 11.050000 0.610128
9.210314 11.100000 0.606260
9.210314 11.150000 0.602458
9.210314 11.200000 0.598656
9.210314 11.250000 0.594853
9.210314 11.300000 0.591051
9.210314 11.350000 0.587490
9.210314 11.400000 0.583930
9.210314 11.450000 0.580369
9.210314 11.500000 0.576808
9.210314 11.550000 0.573730
9.210314 11.600000 0.570652
9.158003 11.000000 0.605875
9.158003 11.050000 0.602051
9.158003 11.100000 0.598228
9.158003 11.150000 0.594481
9.158003 11.200000 0.590734
9.158003 11.250000 0.586987
9.158003 11.300000 0.583240
9.158003 11.350000 0.579746
9.158003 11.400000 0.576252
9.158003 11.450000 0.572758
9.158003 11.500000 0.569263
9.158003 11.550000 0.566261
9.158003 11.600000 0.563258
9.105692 11.000000 0.597755
9.105692 11.050000 0.593975
9.105692 11.100000 0.590195
9.105692 11.150000 0.586504
9.105692 11.200000 0.582812
9.105692 11.250000 0.579121
9.105692 11.300000 0.575429
9.105692 11.350000 0.572002
9.105692 11.400000 0.568574
9.105692 11.450000 0.565146
9.105692 11.500000 0.561719
9.105692 11.550000 0.558792
9.105692 11.600000 0.555865
9.053381 11.000000 0.589634
9.053381 11.050000 0.585898
9.053381 11.100000 0.582163
9.053381 11.150000 0.578527
9.053381 11.200000 0.574890
9.053381 11.250000 0.571254
9.053381 11.300000 0.567618
9.053381 11.350000 0.564257
9.053381 11.400000 0.560896
9.053381 11.450000 0.557535
9.053381 11.500000 0.554174
9.053381 11.550000 0.551323
9.053381 11.600000 0.548472
9.053381 11.650000 0.545621
9.001875 11.000000 0.582668
9.001875 11.050000 0.578944
9.001875 11.100000 0.575220
9.001875 11.150000 0.571575
9.001875 11.200000 0.567930
9.001875 11.250000 0.564285
9.001875 11.300000 0.560639
9.001875 11.350000 0.557242
9.001875 11.400000 0.553844
9.001875 11.450000 0.550446
9.001875 11.500000 0.547048
9.001875 11.550000 0.544126
9.001875 11.600000 0.541204
9.001875 11.650000 0.538282
8.950368 11.000000 0.575702
8.950368 11.050000 0.571989
8.950368 11.100000 0.568276
8.950368 11.150000 0.564622
8.950368 11.200000 0.560969
8.950368 11.250000 0.557315
8.950368 11.300000 0.553661
8.950368 11.350000 0.550226
8.950368 11.400000 0.546792
8.950368 11.450000 0.543357
8.950368 11.500000 0.539923
8.950368 11.550000 0.536930
8.950368 11.600000 0.533937
8.950368 11.650000 0.530944
8.898861 11.000000 0.568736
8.898861 11.050000 0.565035
8.898861 11.100000 0.561333
8.898861 11.150000 0.557670
8.898861 11.200000 0.554008
8.898861 11.250000 0.550345
8.898861 11.300000 0.546682
8.898861 11.350000 0.543211
8.898861 11.400000 0.539740
8.898861 11.450000 0.536268
8.898861 11.500000 0.532797
8.898861 11.550000 0.529733
8.898861 11.600000 0.526669
8.898861 11.650000 0.523606
8.898861 11.700000 0.520542
8.848146 11.000000 0.558864
8.848146 11.050000 0.555136
8.848146 11.100000 0.551408
8.848146 11.150000 0.547710
8.848146 11.200000 0.544012
8.848146 11.250000 0.540315
8.848146 11.300000 0.536617
8.848146 11.350000 0.533099
8.848146 11.400000 0.529582
8.848146 11.450000 0.526064
8.848146 11.500000 0.522546
8.848146 11.550000 0.519423
8.848146 11.600000 0.516299
8.848146 11.650000 0.513175
8.848146 11.700000 0.510052
8.797431 11.000000 0.548992
8.797431 11.050000 0.545237
8.797431 11.100000 0.541483
8.797431 11.150000 0.537750
8.797431 11.200000 0.534017
8.797431 11.250000 0.530284
8.797431 11.300000 0.526551
8.797431 11.350000 0.522987
8.797431 11.400000 0.519423
8.797431 11.450000 0.515859
8.797431 11.500000 0.512295
8.797431 11.550000 0.509112
8.797431 11.600000 0.505929
8.797431 11.650000 0.502745
8.797431 11.700000 0.499562
8.746716 11.000000 0.539120
8.746716 11.050000 0.535339
8.746716 11.100000 0.531557
8.746716 11.150000 0.527790
8.746716 11.200000 0.524022
8.746716 11.250000 0.520254
8.746716 11.300000 0.516486
8.746716 11.350000 0.512875
8.746716 11.400000 0.509265
8.746716 11.450000 0.505655
