#The best-fitting model to the number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta) from the Universe Machine.
#z: 0.8-1.2
#Ref: Zhang et al. (2021)
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -4.900000 2.247272
12.500000 -4.700000 2.137223
12.500000 -4.500000 2.027167
12.500000 -4.300000 1.917103
12.500000 -4.100000 1.807023
12.500000 -3.900000 1.696920
12.500000 -3.700000 1.586780
12.500000 -3.500000 1.476580
12.500000 -3.300000 1.366287
12.500000 -3.100000 1.255845
12.500000 -2.900000 1.145168
12.500000 -2.700000 1.034118
12.500000 -2.500000 0.922476
12.500000 -2.300000 0.809896
12.500000 -2.100000 0.695831
12.500000 -1.900000 0.579412
12.500000 -1.700000 0.459260
12.500000 -1.500000 0.333193
12.500000 -1.300000 0.197753
12.500000 -1.100000 0.047455
12.500000 -0.900000 -0.126391
12.500000 -0.700000 -0.337555
12.500000 -0.500000 -0.607868
12.500000 -0.300000 -0.971923
12.500000 -0.100000 -1.484550
13.500000 -4.900000 2.395427
13.500000 -4.700000 2.285378
13.500000 -4.500000 2.175322
13.500000 -4.300000 2.065258
13.500000 -4.100000 1.955178
13.500000 -3.900000 1.845075
13.500000 -3.700000 1.734935
13.500000 -3.500000 1.624736
13.500000 -3.300000 1.514442
13.500000 -3.100000 1.404001
13.500000 -2.900000 1.293323
13.500000 -2.700000 1.182273
13.500000 -2.500000 1.070631
13.500000 -2.300000 0.958052
13.500000 -2.100000 0.843987
13.500000 -1.900000 0.727567
13.500000 -1.700000 0.607415
13.500000 -1.500000 0.481349
13.500000 -1.300000 0.345908
13.500000 -1.100000 0.195610
13.500000 -0.900000 0.021765
13.500000 -0.700000 -0.189400
13.500000 -0.500000 -0.459712
13.500000 -0.300000 -0.823768
13.500000 -0.100000 -1.336395
14.500000 -4.900000 2.543582
14.500000 -4.700000 2.433533
14.500000 -4.500000 2.323478
14.500000 -4.300000 2.213413
14.500000 -4.100000 2.103334
14.500000 -3.900000 1.993231
14.500000 -3.700000 1.883090
14.500000 -3.500000 1.772891
14.500000 -3.300000 1.662598
14.500000 -3.100000 1.552156
14.500000 -2.900000 1.441479
14.500000 -2.700000 1.330428
14.500000 -2.500000 1.218786
14.500000 -2.300000 1.106207
14.500000 -2.100000 0.992142
14.500000 -1.900000 0.875722
14.500000 -1.700000 0.755570
14.500000 -1.500000 0.629504
14.500000 -1.300000 0.494063
14.500000 -1.100000 0.343765
14.500000 -0.900000 0.169920
14.500000 -0.700000 -0.041245
14.500000 -0.500000 -0.311557
14.500000 -0.300000 -0.675612
14.500000 -0.100000 -1.188240
