#The best-fitting model to the number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta) from the Universe Machine.
#z: 1.7-2.6
#Ref: Zhang et al. (2021)
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -4.900000 2.649109
12.500000 -4.700000 2.507749
12.500000 -4.500000 2.366383
12.500000 -4.300000 2.225008
12.500000 -4.100000 2.083617
12.500000 -3.900000 1.942204
12.500000 -3.700000 1.800753
12.500000 -3.500000 1.659243
12.500000 -3.300000 1.517639
12.500000 -3.100000 1.375886
12.500000 -2.900000 1.233898
12.500000 -2.700000 1.091537
12.500000 -2.500000 0.948585
12.500000 -2.300000 0.804694
12.500000 -2.100000 0.659319
12.500000 -1.900000 0.511588
12.500000 -1.700000 0.360126
12.500000 -1.500000 0.202749
12.500000 -1.300000 0.035997
12.500000 -1.100000 -0.145612
12.500000 -0.900000 -0.350767
12.500000 -0.700000 -0.593243
12.500000 -0.500000 -0.894866
12.500000 -0.300000 -1.290232
12.500000 -0.100000 -1.834169
13.500000 -4.900000 2.797264
13.500000 -4.700000 2.655904
13.500000 -4.500000 2.514538
13.500000 -4.300000 2.373163
13.500000 -4.100000 2.231773
13.500000 -3.900000 2.090359
13.500000 -3.700000 1.948908
13.500000 -3.500000 1.807398
13.500000 -3.300000 1.665794
13.500000 -3.100000 1.524041
13.500000 -2.900000 1.382053
13.500000 -2.700000 1.239692
13.500000 -2.500000 1.096740
13.500000 -2.300000 0.952850
13.500000 -2.100000 0.807474
13.500000 -1.900000 0.659743
13.500000 -1.700000 0.508281
13.500000 -1.500000 0.350904
13.500000 -1.300000 0.184152
13.500000 -1.100000 0.002544
13.500000 -0.900000 -0.202612
13.500000 -0.700000 -0.445088
13.500000 -0.500000 -0.746711
13.500000 -0.300000 -1.142076
13.500000 -0.100000 -1.686014
