#The best-fitting model to the number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta) from the Universe Machine.
#z: 0.4-0.6
#Ref: Zhang et al. (2021)
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -4.900000 1.946282
12.500000 -4.700000 1.857734
12.500000 -4.500000 1.769180
12.500000 -4.300000 1.680616
12.500000 -4.100000 1.592038
12.500000 -3.900000 1.503436
12.500000 -3.700000 1.414797
12.500000 -3.500000 1.326099
12.500000 -3.300000 1.237307
12.500000 -3.100000 1.148366
12.500000 -2.900000 1.059190
12.500000 -2.700000 0.969641
12.500000 -2.500000 0.879500
12.500000 -2.300000 0.788422
12.500000 -2.100000 0.695859
12.500000 -1.900000 0.600940
12.500000 -1.700000 0.502289
12.500000 -1.500000 0.397724
12.500000 -1.300000 0.283785
12.500000 -1.100000 0.154988
12.500000 -0.900000 0.002644
12.500000 -0.700000 -0.187019
12.500000 -0.500000 -0.435831
12.500000 -0.300000 -0.778384
12.500000 -0.100000 -1.269510
13.500000 -4.900000 2.094437
13.500000 -4.700000 2.005889
13.500000 -4.500000 1.917335
13.500000 -4.300000 1.828771
13.500000 -4.100000 1.740193
13.500000 -3.900000 1.651591
13.500000 -3.700000 1.562952
13.500000 -3.500000 1.474254
13.500000 -3.300000 1.385462
13.500000 -3.100000 1.296522
13.500000 -2.900000 1.207346
13.500000 -2.700000 1.117796
13.500000 -2.500000 1.027656
13.500000 -2.300000 0.936578
13.500000 -2.100000 0.844014
13.500000 -1.900000 0.749095
13.500000 -1.700000 0.650445
13.500000 -1.500000 0.545879
13.500000 -1.300000 0.431940
13.500000 -1.100000 0.303143
13.500000 -0.900000 0.150799
13.500000 -0.700000 -0.038864
13.500000 -0.500000 -0.287675
13.500000 -0.300000 -0.630229
13.500000 -0.100000 -1.121355
14.500000 -4.900000 2.242592
14.500000 -4.700000 2.154044
14.500000 -4.500000 2.065490
14.500000 -4.300000 1.976927
14.500000 -4.100000 1.888348
14.500000 -3.900000 1.799747
14.500000 -3.700000 1.711107
14.500000 -3.500000 1.622409
14.500000 -3.300000 1.533617
14.500000 -3.100000 1.444677
14.500000 -2.900000 1.355501
14.500000 -2.700000 1.265952
14.500000 -2.500000 1.175811
14.500000 -2.300000 1.084733
14.500000 -2.100000 0.992169
14.500000 -1.900000 0.897250
14.500000 -1.700000 0.798600
14.500000 -1.500000 0.694035
14.500000 -1.300000 0.580095
14.500000 -1.100000 0.451298
14.500000 -0.900000 0.298954
14.500000 -0.700000 0.109291
14.500000 -0.500000 -0.139520
14.500000 -0.300000 -0.482074
14.500000 -0.100000 -0.973200
