#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
9.477609 11.400000 -7.874457
9.477609 11.450000 -7.722553
9.477609 11.500000 -7.610232
9.423652 11.000000 -9.946657
9.423652 11.050000 -9.792779
9.423652 11.100000 -9.679387
9.423652 11.150000 -9.111600
9.423652 11.200000 -8.873686
9.423652 11.250000 -8.720851
9.423652 11.300000 -8.608025
9.423652 11.350000 -8.061370
9.423652 11.400000 -7.826857
9.423652 11.450000 -7.675413
9.423652 11.500000 -7.563343
9.369696 11.000000 -9.890170
9.369696 11.050000 -9.736608
9.369696 11.100000 -9.623389
9.369696 11.150000 -9.060970
9.369696 11.200000 -8.823903
9.369696 11.250000 -8.671412
9.369696 11.300000 -8.558773
9.369696 11.350000 -8.017567
9.369696 11.400000 -7.783962
9.369696 11.450000 -7.632892
9.369696 11.500000 -7.521026
9.369696 11.550000 -7.006233
9.316568 11.000000 -9.822310
9.316568 11.050000 -9.669317
9.316568 11.100000 -9.556405
9.316568 11.150000 -9.002612
9.316568 11.200000 -8.766928
9.316568 11.250000 -8.615004
9.316568 11.300000 -8.502672
9.316568 11.350000 -7.969501
9.316568 11.400000 -7.737261
9.316568 11.450000 -7.586755
9.316568 11.500000 -7.475197
9.316568 11.550000 -6.967741
9.263441 11.000000 -9.763635
9.263441 11.050000 -9.611066
9.263441 11.100000 -9.498385
9.263441 11.150000 -8.951174
9.263441 11.200000 -8.716569
9.263441 11.250000 -8.565087
9.263441 11.300000 -8.452996
9.263441 11.350000 -7.926230
9.263441 11.400000 -7.695098
9.263441 11.450000 -7.545052
9.263441 11.500000 -7.433746
9.263441 11.550000 -6.932384
9.210314 11.000000 -9.711951
9.210314 11.050000 -9.559713
9.210314 11.100000 -9.447210
9.210314 11.150000 -8.905188
9.210314 11.200000 -8.671447
9.210314 11.250000 -8.520320
9.210314 11.300000 -8.408423
9.210314 11.350000 -7.886881
9.210314 11.400000 -7.656669
9.210314 11.450000 -7.507005
9.210314 11.500000 -7.395908
9.210314 11.550000 -6.899691
9.210314 11.600000 -6.674121
9.158003 11.000000 -9.651388
9.158003 11.050000 -9.499705
9.158003 11.100000 -9.387505
9.158003 11.150000 -8.853360
9.158003 11.200000 -8.620953
9.158003 11.250000 -8.470377
9.158003 11.300000 -8.358781
9.158003 11.350000 -7.844556
9.158003 11.400000 -7.615652
9.158003 11.450000 -7.466536
9.158003 11.500000 -7.355740
9.158003 11.550000 -6.866185
9.158003 11.600000 -6.641892
9.105692 11.000000 -9.598246
9.105692 11.050000 -9.446991
9.105692 11.100000 -9.335024
9.105692 11.150000 -8.807062
9.105692 11.200000 -8.575723
9.105692 11.250000 -8.425590
9.105692 11.300000 -8.314236
9.105692 11.350000 -7.805992
9.105692 11.400000 -7.578178
9.105692 11.450000 -7.429518
9.105692 11.500000 -7.318974
9.105692 11.550000 -6.835081
9.105692 11.600000 -6.611890
9.053381 11.000000 -9.550904
9.053381 11.050000 -9.399988
9.053381 11.100000 -9.288207
9.053381 11.150000 -8.765229
9.053381 11.200000 -8.534762
9.053381 11.250000 -8.384992
9.053381 11.300000 -8.273838
9.053381 11.350000 -7.770575
9.053381 11.400000 -7.543682
9.053381 11.450000 -7.395410
9.053381 11.500000 -7.285079
9.053381 11.550000 -6.806056
9.053381 11.600000 -6.583828
9.053381 11.650000 -6.437538
9.001875 11.000000 -9.480706
9.001875 11.050000 -9.330349
9.001875 11.100000 -9.218873
9.001875 11.150000 -8.703492
9.001875 11.200000 -8.474380
9.001875 11.250000 -8.325176
9.001875 11.300000 -8.214332
9.001875 11.350000 -7.718311
9.001875 11.400000 -7.492779
9.001875 11.450000 -7.345082
9.001875 11.500000 -7.235068
9.001875 11.550000 -6.762848
9.001875 11.600000 -6.541986
9.001875 11.650000 -6.396281
8.950368 11.000000 -9.420292
8.950368 11.050000 -9.270349
8.950368 11.100000 -9.159100
8.950368 11.150000 -8.649450
8.950368 11.200000 -8.421378
8.950368 11.250000 -8.272610
8.950368 11.300000 -8.162005
8.950368 11.350000 -7.671666
8.950368 11.400000 -7.447221
8.950368 11.450000 -7.299985
8.950368 11.500000 -7.190226
8.950368 11.550000 -6.723552
8.950368 11.600000 -6.503823
8.950368 11.650000 -6.358607
8.898861 11.000000 -9.367265
8.898861 11.050000 -9.217641
8.898861 11.100000 -9.106566
8.898861 11.150000 -8.601394
8.898861 11.200000 -8.374146
8.898861 11.250000 -8.225725
8.898861 11.300000 -8.115311
8.898861 11.350000 -7.629548
8.898861 11.400000 -7.405992
8.898861 11.450000 -7.259134
8.898861 11.500000 -7.149584
8.898861 11.550000 -6.687518
8.898861 11.600000 -6.468744
8.898861 11.650000 -6.323941
8.898861 11.700000 -6.215534
8.848146 11.000000 -9.298476
8.848146 11.050000 -9.149405
8.848146 11.100000 -9.038634
8.848146 11.150000 -8.540546
8.848146 11.200000 -8.314623
8.848146 11.250000 -8.166760
8.848146 11.300000 -8.056655
8.848146 11.350000 -7.577615
8.848146 11.400000 -7.355384
8.848146 11.450000 -7.209092
8.848146 11.500000 -7.099857
8.848146 11.550000 -6.644065
8.848146 11.600000 -6.426611
8.848146 11.650000 -6.282380
8.848146 11.700000 -6.174293
8.797431 11.000000 -9.239107
8.797431 11.050000 -9.090448
8.797431 11.100000 -8.979904
8.797431 11.150000 -8.487185
8.797431 11.200000 -8.262283
8.797431 11.250000 -8.114853
8.797431 11.300000 -8.004987
8.797431 11.350000 -7.531235
8.797431 11.400000 -7.310063
8.797431 11.450000 -7.164225
8.797431 11.500000 -7.055242
8.797431 11.550000 -6.604567
8.797431 11.600000 -6.388206
8.797431 11.650000 -6.244451
8.797431 11.700000 -6.136631
8.746716 11.000000 -9.186887
8.746716 11.050000 -9.038547
8.746716 11.100000 -8.928178
8.746716 11.150000 -8.439669
8.746716 11.200000 -8.215578
8.746716 11.250000 -8.068493
8.746716 11.300000 -7.958818
8.746716 11.350000 -7.489333
8.746716 11.400000 -7.269028
8.746716 11.450000 -7.123563
8.746716 11.500000 -7.014787
8.746716 11.550000 -6.568363
8.746716 11.600000 -6.352923
8.746716 11.650000 -6.209570
8.746716 11.700000 -6.101976
8.696780 11.000000 -9.128974
8.696780 11.050000 -8.981171
8.696780 11.100000 -8.871099
8.696780 11.150000 -8.389035
8.696780 11.200000 -8.166204
8.696780 11.250000 -8.019656
8.696780 11.300000 -7.910278
8.696780 11.350000 -7.446833
8.696780 11.400000 -7.227772
8.696780 11.450000 -7.082844
8.696780 11.500000 -6.974368
8.696780 11.550000 -6.533496
8.696780 11.600000 -6.319274
8.696780 11.650000 -6.176457
8.696780 11.700000 -6.069162
8.696780 11.750000 -5.652258
8.646845 11.000000 -9.077884
8.646845 11.050000 -8.930499
8.646845 11.100000 -8.820658
8.646845 11.150000 -8.343692
