#z=10.000000, lbol_lim=46.000000, sigma_mbh_obs=0.5 dex
#sm mbh_16 mbh_50 mbh_84
7.000000 6.179339 6.675707 7.172262
7.100000 6.179323 6.675689 7.172238
7.200000 6.179343 6.675709 7.172261
7.300000 6.179436 6.675801 7.172377
7.400000 6.179631 6.675994 7.172620
7.500000 6.179970 6.676330 7.173039
7.600000 6.180415 6.676869 7.173711
7.700000 6.181082 6.677684 7.174724
7.800000 6.182054 6.678870 7.176189
7.900000 6.183466 6.680582 7.178291
8.000000 6.185552 6.683098 7.181348
8.100000 6.188655 6.686804 7.185785
8.200000 6.193271 6.692238 7.192157
8.300000 6.200345 6.700389 7.201417
8.400000 6.211577 6.712909 7.214994
8.500000 6.228564 6.730928 7.233281
8.600000 6.249659 6.751747 7.253005
8.700000 6.269564 6.770055 7.269561
8.800000 6.286415 6.785167 7.283986
8.900000 6.301692 6.801622 7.302659
9.000000 6.321040 6.823180 7.326193
9.100000 6.344566 6.848198 7.351640
9.200000 6.370129 6.873871 7.376603
9.300000 6.401450 6.904200 7.408909
9.400000 6.438821 6.945787 7.453332
9.500000 6.486642 6.993291 7.498279
9.600000 6.528399 7.034382 7.542317
9.700000 6.565020 7.074626 7.584756
9.800000 6.621683 7.134395 7.651975
9.900000 6.703822 7.223559 7.743878
10.000000 6.790465 7.309343 7.826027
10.100000 6.859280 7.376870 7.898109
10.200000 6.931628 7.457405 7.989768
10.300000 7.051759 7.591874 8.137304
10.400000 7.213106 7.757439 8.301375
10.500000 7.348585 7.888213 8.430491
10.600000 7.457631 8.000750 8.548533
10.700000 7.571598 8.122639 8.678583
10.800000 7.704155 8.263125 8.825995
10.900000 7.854275 8.421814 8.993466
11.000000 8.020450 8.593989 9.169272
11.100000 8.197144 8.774669 9.352628
11.200000 8.382090 8.959769 9.540478
11.300000 8.565586 9.146500 9.727634
11.400000 8.751794 9.333655 9.914009
11.500000 8.939765 9.520631 10.103132
11.600000 9.124728 9.707015 10.290011
11.700000 9.309442 9.892716 10.474068
11.800000 9.495528 10.077797 10.660848
11.900000 9.679092 10.261824 10.845396
12.000000 9.860994 10.444631 11.026397
12.100000 10.044244 10.626574 11.209735
12.200000 10.224416 10.807427 11.390859
12.300000 10.403681 10.987173 11.568210
12.400000 10.584657 11.166012 11.748478
12.500000 10.760522 11.343253 11.923232
12.600000 10.937339 11.518447 12.094222
12.700000 11.112089 11.690216 12.257013
12.800000 11.281965 11.856123 12.406976
12.900000 11.449416 12.013518 12.536709
13.000000 11.606189 12.157654 12.643363
13.100000 11.752730 12.283639 12.724491
13.200000 11.882965 12.386442 12.779954
13.300000 11.988409 12.464302 12.818518
13.400000 12.067167 12.518130 12.842454
