#z=10.000000, lbol_lim=45.700000, sigma_mbh_obs=0.5 dex
#sm mbh_16 mbh_50 mbh_84
7.000000 5.865547 6.364872 6.865165
7.100000 5.873716 6.374165 6.875542
7.200000 5.884671 6.386195 6.888337
7.300000 5.897741 6.399938 6.902139
7.400000 5.911238 6.413398 6.914958
7.500000 5.923754 6.425201 6.925730
7.600000 5.934411 6.434775 6.934168
7.700000 5.942554 6.441820 6.940216
7.800000 5.948174 6.446555 6.944213
7.900000 5.951886 6.449637 6.946793
8.000000 5.954315 6.451645 6.948476
8.100000 5.955835 6.452912 6.949554
8.200000 5.956708 6.453667 6.950280
8.300000 5.957231 6.454159 6.950870
8.400000 5.957762 6.454692 6.951544
8.500000 5.958749 6.455659 6.952743
8.600000 5.960648 6.457641 6.955166
8.700000 5.964145 6.461834 6.960263
8.800000 5.971841 6.470994 6.971191
8.900000 5.988198 6.489821 6.992469
9.000000 6.016654 6.520380 7.023855
9.100000 6.051804 6.554366 7.055811
9.200000 6.082857 6.585154 7.089107
9.300000 6.114124 6.619796 7.126207
9.400000 6.158619 6.665522 7.171352
9.500000 6.206589 6.714607 7.224229
9.600000 6.250273 6.760260 7.269603
9.700000 6.302367 6.815176 7.332049
9.800000 6.379575 6.899720 7.422127
9.900000 6.476249 6.997972 7.519324
10.000000 6.557801 7.078821 7.599966
10.100000 6.634604 7.160068 7.691604
10.200000 6.744754 7.285276 7.830230
10.300000 6.909303 7.459420 8.010490
10.400000 7.070771 7.615120 8.160619
10.500000 7.198382 7.746091 8.298050
10.600000 7.326193 7.882158 8.442944
10.700000 7.471229 8.035158 8.601334
10.800000 7.633643 8.204404 8.778578
10.900000 7.809266 8.384570 8.962097
11.000000 7.991750 8.570828 9.148570
11.100000 8.180269 8.760052 9.340847
11.200000 8.369987 8.950086 9.532139
11.300000 8.557589 9.139780 9.721499
11.400000 8.746508 9.329014 9.910363
11.500000 8.936375 9.517638 10.100783
11.600000 9.122404 9.705298 10.288643
11.700000 9.308256 9.891805 10.473271
11.800000 9.494911 10.077264 10.660407
11.900000 9.678635 10.261443 10.845044
12.000000 9.860664 10.444325 11.026089
12.100000 10.043987 10.626319 11.209508
12.200000 10.224172 10.807211 11.390654
12.300000 10.403489 10.986991 11.568055
12.400000 10.584505 11.165859 11.748339
12.500000 10.760378 11.343122 11.923106
12.600000 10.937225 11.518338 12.094128
12.700000 11.111982 11.690124 12.256930
12.800000 11.281882 11.856048 12.406916
12.900000 11.449340 12.013458 12.536666
13.000000 11.606134 12.157607 12.643333
13.100000 11.752683 12.283604 12.724471
13.200000 11.882928 12.386418 12.779942
13.300000 11.988383 12.464286 12.818510
13.400000 12.067150 12.518119 12.842450
