#z=10.000000, lbol_lim=47.000000, sigma_mbh_obs=0.5 dex
#sm mbh_16 mbh_50 mbh_84
7.000000 7.170666 7.667272 8.164308
7.100000 7.172185 7.669087 8.166513
7.200000 7.173567 7.670733 8.168501
7.300000 7.173787 7.670979 8.168782
7.400000 7.173065 7.670097 8.167695
7.500000 7.172357 7.669235 8.166635
7.600000 7.172035 7.668842 8.166150
7.700000 7.172129 7.668956 8.166291
7.800000 7.172635 7.669571 8.167047
7.900000 7.173600 7.670740 8.168478
8.000000 7.175143 7.672602 8.170741
8.100000 7.177477 7.675395 8.174099
8.200000 7.180980 7.679543 8.179005
8.300000 7.186434 7.685894 8.186331
8.400000 7.195259 7.695899 8.197447
8.500000 7.208976 7.710826 8.213126
8.600000 7.226825 7.729171 8.231099
8.700000 7.244529 7.746133 8.246809
8.800000 7.258956 7.759302 8.258673
8.900000 7.271813 7.770992 8.269364
9.000000 7.286310 7.785718 8.286153
9.100000 7.304908 7.806539 8.309122
9.200000 7.327989 7.831126 8.334282
9.300000 7.351759 7.855029 8.357420
9.400000 7.377960 7.880319 8.381818
9.500000 7.409897 7.913994 8.419385
9.600000 7.449660 7.955438 8.460411
9.700000 7.488516 7.991378 8.493524
9.800000 7.515234 8.018115 8.522755
9.900000 7.541011 8.047721 8.555925
10.000000 7.588168 8.099966 8.612997
10.100000 7.663213 8.180583 8.696421
10.200000 7.740962 8.254365 8.768581
10.300000 7.793753 8.306053 8.816792
10.400000 7.845528 8.360723 8.880645
10.500000 7.933289 8.459830 8.992493
10.600000 8.069102 8.600736 9.131779
10.700000 8.180445 8.704981 9.230546
10.800000 8.251825 8.775469 9.302499
10.900000 8.314875 8.843607 9.372980
11.000000 8.389065 8.921690 9.459411
11.100000 8.474546 9.015102 9.561433
11.200000 8.577011 9.126620 9.681216
11.300000 8.699626 9.257246 9.819519
11.400000 8.839209 9.405405 9.976229
11.500000 8.993867 9.566950 10.140047
11.600000 9.162059 9.737666 10.316154
11.700000 9.334078 9.913283 10.492877
11.800000 9.511082 10.091556 10.671925
11.900000 9.690848 10.270954 10.853066
12.000000 9.868099 10.450424 11.031516
12.100000 10.048381 10.630074 11.212450
12.200000 10.227207 10.809549 11.392657
12.300000 10.405302 10.988556 11.569319
12.400000 10.585727 11.167041 11.749390
12.500000 10.761461 11.344091 11.924036
12.600000 10.938063 11.519141 12.094818
12.700000 11.112769 11.690796 12.257540
12.800000 11.282486 11.856600 12.407358
12.900000 11.449896 12.013903 12.536983
13.000000 11.606538 12.157953 12.643553
13.100000 11.753026 12.283862 12.724618
13.200000 11.883199 12.386599 12.780033
13.300000 11.988575 12.464404 12.818565
13.400000 12.067271 12.518197 12.842482
