#z=10.000000, lbol_lim=45.000000, sigma_mbh_obs=0.5 dex
#sm mbh_16 mbh_50 mbh_84
7.000000 5.188962 5.685349 6.181827
7.100000 5.189111 5.685493 6.182006
7.200000 5.189326 5.685704 6.182267
7.300000 5.189639 5.686010 6.182648
7.400000 5.190081 5.686464 6.183211
7.500000 5.190650 5.687159 6.184076
7.600000 5.191541 5.688246 6.185421
7.700000 5.192897 5.689895 6.187452
7.800000 5.194869 5.692279 6.190360
7.900000 5.197679 5.695649 6.194419
8.000000 5.201717 5.700430 6.200072
8.100000 5.207479 5.707135 6.207794
8.200000 5.215530 5.716277 6.217959
8.300000 5.226758 5.728606 6.231042
8.400000 5.242335 5.744947 6.247386
8.500000 5.262071 5.764318 6.265693
8.600000 5.282802 5.783393 6.282998
8.700000 5.301956 5.800984 6.301048
8.800000 5.319880 5.821145 6.323635
8.900000 5.344192 5.847875 6.352020
9.000000 5.374144 5.878715 6.382470
9.100000 5.407866 5.911107 6.416198
9.200000 5.443508 5.951097 6.460030
9.300000 5.494286 6.003853 6.512350
9.400000 5.549831 6.060822 6.573667
9.500000 5.604542 6.118120 6.632989
9.600000 5.671590 6.192569 6.715209
9.700000 5.770590 6.298169 6.826963
9.800000 5.881608 6.411336 6.942319
9.900000 5.986024 6.520993 7.059550
10.000000 6.110018 6.659246 7.214998
10.100000 6.286964 6.845906 7.408637
10.200000 6.479423 7.040007 7.601448
10.300000 6.653300 7.215652 7.781903
10.400000 6.822782 7.390105 7.960954
10.500000 6.999500 7.573597 8.148386
10.600000 7.188237 7.765023 8.343906
10.700000 7.382358 7.960630 8.541437
10.800000 7.576700 8.157682 8.738948
10.900000 7.772695 8.354775 8.935150
11.000000 7.969195 8.551272 9.132966
11.100000 8.165789 8.746873 9.329936
11.200000 8.358810 8.941316 9.524731
11.300000 8.550763 9.134298 9.716774
11.400000 8.742616 9.325849 9.908012
11.500000 8.934270 9.515849 10.099355
11.600000 9.121005 9.704188 10.287654
11.700000 9.307367 9.891009 10.472476
11.800000 9.494260 10.076627 10.659840
11.900000 9.678026 10.260910 10.844542
12.000000 9.860186 10.443879 11.025636
12.100000 10.043607 10.625944 11.209172
12.200000 10.223811 10.806891 11.390351
12.300000 10.403205 10.986722 11.567826
12.400000 10.584278 11.165632 11.748133
12.500000 10.760164 11.342929 11.922920
12.600000 10.937057 11.518176 12.093989
12.700000 11.111823 11.689989 12.256807
12.800000 11.281760 11.855937 12.406826
12.900000 11.449228 12.013367 12.536602
13.000000 11.606052 12.157536 12.643288
13.100000 11.752613 12.283551 12.724441
13.200000 11.882872 12.386381 12.779924
13.300000 11.988343 12.464262 12.818499
13.400000 12.067125 12.518103 12.842443
