#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant merger" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
9.823514 11.050000 -10.493032
9.823514 11.100000 -10.152914
9.823514 11.150000 -9.964537
9.823514 11.200000 -9.613989
9.823514 11.250000 -9.422572
9.823514 11.300000 -9.081077
9.823514 11.350000 -8.892294
9.823514 11.400000 -8.559988
9.787720 11.000000 -10.629797
9.787720 11.050000 -10.437709
9.787720 11.100000 -10.099476
9.787720 11.150000 -9.911659
9.787720 11.200000 -9.563130
9.787720 11.250000 -9.372294
9.787720 11.300000 -9.032759
9.787720 11.350000 -8.844556
9.787720 11.400000 -8.514147
9.751926 11.000000 -10.580285
9.751926 11.050000 -10.388644
9.751926 11.100000 -10.051899
9.751926 11.150000 -9.864527
9.751926 11.200000 -9.517608
9.751926 11.250000 -9.327238
9.751926 11.300000 -8.989283
9.751926 11.350000 -8.801550
9.751926 11.400000 -8.472686
9.751926 11.450000 -8.287700
9.716487 11.000000 -10.521416
9.716487 11.050000 -10.330502
9.716487 11.100000 -9.996100
9.716487 11.150000 -9.809432
9.716487 11.200000 -9.464988
9.716487 11.250000 -9.275339
9.716487 11.300000 -8.939752
9.716487 11.350000 -8.752727
9.716487 11.400000 -8.426124
9.716487 11.450000 -8.241833
9.681047 11.000000 -10.469583
9.681047 11.050000 -10.279232
9.681047 11.100000 -9.946662
9.681047 11.150000 -9.760546
9.681047 11.200000 -9.418061
9.681047 11.250000 -9.228986
9.681047 11.300000 -8.895297
9.681047 11.350000 -8.708843
9.681047 11.400000 -8.384074
9.681047 11.450000 -8.200350
9.645607 11.000000 -10.423282
9.645607 11.050000 -10.233381
9.645607 11.100000 -9.902280
9.645607 11.150000 -9.716611
9.645607 11.200000 -9.375713
9.645607 11.250000 -9.187106
9.645607 11.300000 -8.854972
9.645607 11.350000 -8.668989
9.645607 11.400000 -8.345739
9.645607 11.450000 -8.162486
9.610518 11.000000 -10.368985
9.610518 11.050000 -10.179789
9.610518 11.100000 -9.850922
9.610518 11.150000 -9.665935
9.610518 11.200000 -9.327393
9.610518 11.250000 -9.139485
9.610518 11.300000 -8.809603
9.610518 11.350000 -8.624305
9.610518 11.400000 -8.303203
9.610518 11.450000 -8.120621
9.575429 11.000000 -10.320729
9.575429 11.050000 -10.132090
9.575429 11.100000 -9.805000
9.575429 11.150000 -9.620559
9.575429 11.200000 -9.283915
9.575429 11.250000 -9.096574
9.575429 11.300000 -8.768528
9.575429 11.350000 -8.583793
9.575429 11.400000 -8.264463
9.575429 11.450000 -8.082440
9.575429 11.500000 -7.755355
9.540340 11.000000 -10.277302
9.540340 11.050000 -10.089116
9.540340 11.100000 -9.763473
9.540340 11.150000 -9.579479
9.540340 11.200000 -9.244397
9.540340 11.250000 -9.057523
9.540340 11.300000 -8.731005
9.540340 11.350000 -8.546740
9.540340 11.400000 -8.228898
9.540340 11.450000 -8.047345
9.540340 11.500000 -7.721857
9.505598 11.000000 -10.227037
9.505598 11.050000 -10.039535
9.505598 11.100000 -9.716025
9.505598 11.150000 -9.532691
9.505598 11.200000 -9.199856
9.505598 11.250000 -9.013660
9.505598 11.300000 -8.689287
9.505598 11.350000 -8.505685
9.505598 11.400000 -8.189888
9.505598 11.450000 -8.008983
9.505598 11.500000 -7.685636
9.470855 11.000000 -10.181991
9.470855 11.050000 -9.995039
9.470855 11.100000 -9.673253
9.470855 11.150000 -9.490458
9.470855 11.200000 -9.159461
9.470855 11.250000 -8.973823
9.470855 11.300000 -8.651227
9.470855 11.350000 -8.468178
9.470855 11.400000 -8.154094
9.470855 11.450000 -7.973737
9.470855 11.500000 -7.652204
9.436113 11.000000 -10.141181
9.436113 11.050000 -9.954681
9.436113 11.100000 -9.634319
9.436113 11.150000 -9.451970
9.436113 11.200000 -9.122505
9.436113 11.250000 -8.937335
9.436113 11.300000 -8.616235
9.436113 11.350000 -8.433655
9.436113 11.400000 -8.121027
9.436113 11.450000 -7.941137
9.436113 11.500000 -7.621164
9.401714 11.000000 -10.094517
9.401714 11.050000 -9.908683
9.401714 11.100000 -9.590357
9.401714 11.150000 -9.408650
9.401714 11.200000 -9.081329
9.401714 11.250000 -8.896817
9.401714 11.300000 -8.577763
9.401714 11.350000 -8.395826
9.401714 11.400000 -8.085145
9.401714 11.450000 -7.905884
9.401714 11.500000 -7.587948
9.401714 11.550000 -7.406364
9.367315 11.000000 -10.052384
9.367315 11.050000 -9.867094
9.367315 11.100000 -9.550439
9.367315 11.150000 -9.369262
9.367315 11.200000 -9.043721
9.367315 11.250000 -8.859758
9.367315 11.300000 -8.542422
9.367315 11.350000 -8.361029
9.367315 11.400000 -8.052003
9.367315 11.450000 -7.873279
9.367315 11.500000 -7.557093
9.367315 11.550000 -7.376065
9.332917 11.000000 -10.013980
9.332917 11.050000 -9.829141
9.332917 11.100000 -9.513883
9.332917 11.150000 -9.333151
9.332917 11.200000 -9.009112
9.332917 11.250000 -8.825615
9.332917 11.300000 -8.509743
9.332917 11.350000 -8.328815
9.332917 11.400000 -8.021212
9.332917 11.450000 -7.842951
9.332917 11.500000 -7.528285
9.332917 11.550000 -7.347742
9.298858 11.000000 -9.970584
9.298858 11.050000 -9.786392
9.298858 11.100000 -9.473081
9.298858 11.150000 -9.292972
9.298858 11.200000 -8.970981
9.298858 11.250000 -8.788121
9.298858 11.300000 -8.474202
9.298858 11.350000 -8.293898
9.298858 11.400000 -7.988152
9.298858 11.450000 -7.810500
9.298858 11.500000 -7.497775
9.298858 11.550000 -7.317854
9.264800 11.000000 -9.931133
9.264800 11.050000 -9.747476
9.264800 11.100000 -9.435785
9.264800 11.150000 -9.256197
9.264800 11.200000 -8.935928
9.264800 11.250000 -8.753609
9.264800 11.300000 -8.441351
9.264800 11.350000 -8.261580
9.264800 11.400000 -7.957432
9.264800 11.450000 -7.780306
9.264800 11.500000 -7.469267
9.264800 11.550000 -7.289891
9.230741 11.000000 -9.894969
9.230741 11.050000 -9.711762
9.230741 11.100000 -9.401440
9.230741 11.150000 -9.222295
9.230741 11.200000 -8.903495
9.230741 11.250000 -8.721639
9.230741 11.300000 -8.410811
9.230741 11.350000 -8.231502
9.230741 11.400000 -7.928742
9.230741 11.450000 -7.752075
9.230741 11.500000 -7.442517
9.230741 11.550000 -7.263620
9.230741 11.600000 -6.967784
9.197019 11.000000 -9.854566
9.197019 11.050000 -9.671988
9.197019 11.100000 -9.363528
9.197019 11.150000 -9.184988
9.197019 11.200000 -8.868145
9.197019 11.250000 -8.686908
9.197019 11.300000 -8.377945
9.197019 11.350000 -8.199241
9.197019 11.400000 -7.898253
9.197019 11.450000 -7.722176
9.197019 11.500000 -7.414468
9.197019 11.550000 -7.236173
9.197019 11.600000 -6.942032
9.163297 11.000000 -9.817604
9.163297 11.050000 -9.635553
9.163297 11.100000 -9.328662
9.163297 11.150000 -9.150635
9.163297 11.200000 -8.835457
9.163297 11.250000 -8.654751
9.163297 11.300000 -8.347392
9.163297 11.350000 -8.169212
9.163297 11.400000 -7.869765
9.163297 11.450000 -7.694203
9.163297 11.500000 -7.388121
9.163297 11.550000 -7.210358
9.163297 11.600000 -6.917722
9.129576 11.000000 -9.783543
9.129576 11.050000 -9.601940
9.129576 11.100000 -9.296388
9.129576 11.150000 -9.118800
9.129576 11.200000 -8.805058
9.129576 11.250000 -8.624811
9.129576 11.300000 -8.318848
9.129576 11.350000 -8.141125
9.129576 11.400000 -7.843032
9.129576 11.450000 -7.667924
9.129576 11.500000 -7.363281
9.129576 11.550000 -7.185992
9.129576 11.600000 -6.894702
9.096187 11.000000 -9.745908
9.096187 11.050000 -9.564916
9.096187 11.100000 -9.261146
9.096187 11.150000 -9.084145
9.096187 11.200000 -8.772274
9.096187 11.250000 -8.592629
9.096187 11.300000 -8.288447
9.096187 11.350000 -8.111310
9.096187 11.400000 -7.814909
9.096187 11.450000 -7.640372
9.096187 11.500000 -7.337493
9.096187 11.550000 -7.160788
9.096187 11.600000 -6.871113
9.062799 11.000000 -9.711275
9.062799 11.050000 -9.530802
9.062799 11.100000 -9.228550
9.062799 11.150000 -9.052053
9.062799 11.200000 -8.741792
9.062799 11.250000 -8.562667
9.062799 11.300000 -8.260035
9.062799 11.350000 -8.083411
9.062799 11.400000 -7.788497
9.062799 11.450000 -7.614464
9.062799 11.500000 -7.313152
9.062799 11.550000 -7.136966
9.062799 11.600000 -6.848740
9.062799 11.650000 -6.677002
9.029410 11.000000 -9.679202
9.029410 11.050000 -9.499173
9.029410 11.100000 -9.198231
9.029410 11.150000 -9.022169
9.029410 11.200000 -8.713310
9.029410 11.250000 -8.534640
9.029410 11.300000 -8.233368
9.029410 11.350000 -8.057197
9.029410 11.400000 -7.763600
9.029410 11.450000 -7.590015
9.029410 11.500000 -7.290102
9.029410 11.550000 -7.114384
9.029410 11.600000 -6.827463
9.029410 11.650000 -6.656179
8.996352 11.000000 -9.644148
8.996352 11.050000 -9.464714
8.996352 11.100000 -9.165477
8.996352 11.150000 -8.989985
8.996352 11.200000 -8.682914
8.996352 11.250000 -8.504828
8.996352 11.300000 -8.205259
8.996352 11.350000 -8.029656
8.996352 11.400000 -7.737675
8.996352 11.450000 -7.564643
8.996352 11.500000 -7.266413
8.996352 11.550000 -7.091259
8.996352 11.600000 -6.805879
8.996352 11.650000 -6.635133
8.963294 11.000000 -9.611714
8.963294 11.050000 -9.432788
8.963294 11.100000 -9.135021
8.963294 11.150000 -8.960023
8.963294 11.200000 -8.654508
8.963294 11.250000 -8.476932
8.963294 11.300000 -8.178859
8.963294 11.350000 -8.003758
8.963294 11.400000 -7.713212
8.963294 11.450000 -7.540672
8.963294 11.500000 -7.243950
8.963294 11.550000 -7.069304
8.963294 11.600000 -6.785318
8.963294 11.650000 -6.615060
8.930235 11.000000 -9.581534
8.930235 11.050000 -9.403050
8.930235 11.100000 -9.106561
8.930235 11.150000 -8.931994
8.930235 11.200000 -8.627846
8.930235 11.250000 -8.450720
8.930235 11.300000 -8.153972
8.930235 11.350000 -7.979318
8.930235 11.400000 -7.690053
8.930235 11.450000 -7.517955
8.930235 11.500000 -7.222592
8.930235 11.550000 -7.048406
8.930235 11.600000 -6.765686
8.930235 11.650000 -6.595874
8.897504 11.000000 -9.540268
8.897504 11.050000 -9.362362
8.897504 11.100000 -9.067518
8.897504 11.150000 -8.893508
8.897504 11.200000 -8.591092
8.897504 11.250000 -8.414540
8.897504 11.300000 -8.119451
8.897504 11.350000 -7.945358
8.897504 11.400000 -7.657676
8.897504 11.450000 -7.486127
8.897504 11.500000 -7.192421
8.897504 11.550000 -7.018799
8.897504 11.600000 -6.737605
8.897504 11.650000 -6.568332
8.897504 11.700000 -6.282308
8.864773 11.000000 -9.502584
8.864773 11.050000 -9.325161
8.864773 11.100000 -9.031697
8.864773 11.150000 -8.858157
8.864773 11.200000 -8.557208
8.864773 11.250000 -8.381144
8.864773 11.300000 -8.087473
8.864773 11.350000 -7.913862
8.864773 11.400000 -7.627547
8.864773 11.450000 -7.456474
8.864773 11.500000 -7.164211
8.864773 11.550000 -6.991082
8.864773 11.600000 -6.711230
8.864773 11.650000 -6.542434
8.864773 11.700000 -6.257818
8.832041 11.000000 -9.467911
8.832041 11.050000 -9.290897
8.832041 11.100000 -8.998606
8.832041 11.150000 -8.825468
8.832041 11.200000 -8.525778
8.832041 11.250000 -8.350134
8.832041 11.300000 -8.057689
8.832041 11.350000 -7.884497
8.832041 11.400000 -7.599373
8.832041 11.450000 -7.428716
8.832041 11.500000 -7.137722
8.832041 11.550000 -6.965028
8.832041 11.600000 -6.686366
8.832041 11.650000 -6.517993
8.832041 11.700000 -6.234635
8.799634 11.000000 -9.426474
8.799634 11.050000 -9.250018
8.799634 11.100000 -8.959299
8.799634 11.150000 -8.786699
8.799634 11.200000 -8.488667
8.799634 11.250000 -8.313579
8.799634 11.300000 -8.022722
8.799634 11.350000 -7.850075
8.799634 11.400000 -7.566470
8.799634 11.450000 -7.396345
8.799634 11.500000 -7.106943
8.799634 11.550000 -6.934798
8.799634 11.600000 -6.657603
8.799634 11.650000 -6.489757
8.799634 11.700000 -6.207928
8.767227 11.000000 -9.388648
8.767227 11.050000 -9.212659
8.767227 11.100000 -8.923255
8.767227 11.150000 -8.751110
8.767227 11.200000 -8.454478
8.767227 11.250000 -8.279863
8.767227 11.300000 -7.990362
8.767227 11.350000 -7.818182
8.767227 11.400000 -7.535884
8.767227 11.450000 -7.366221
8.767227 11.500000 -7.078202
8.767227 11.550000 -6.906535
8.767227 11.600000 -6.630628
8.767227 11.650000 -6.463244
8.767227 11.700000 -6.182767
8.734819 11.000000 -9.353854
8.734819 11.050000 -9.178260
8.734819 11.100000 -8.889976
8.734819 11.150000 -8.718218
8.734819 11.200000 -8.422786
8.734819 11.250000 -8.248578
8.734819 11.300000 -7.960246
8.734819 11.350000 -7.788472
8.734819 11.400000 -7.507312
8.734819 11.450000 -7.338052
8.734819 11.500000 -7.051245
8.734819 11.550000 -6.880000
8.734819 11.600000 -6.605230
8.734819 11.650000 -6.438257
8.734819 11.700000 -6.158985
8.734819 11.750000 -5.990396
8.702732 11.000000 -9.316080
8.702732 11.050000 -9.141027
8.702732 11.100000 -8.854243
8.702732 11.150000 -8.683006
8.702732 11.200000 -8.389154
8.702732 11.250000 -8.215482
8.702732 11.300000 -7.928663
8.702732 11.350000 -7.757414
8.702732 11.400000 -7.477698
8.702732 11.450000 -7.308951
8.702732 11.500000 -7.023655
8.702732 11.550000 -6.852938
8.702732 11.600000 -6.579561
8.702732 11.650000 -6.413093
8.702732 11.700000 -6.135269
8.702732 11.750000 -5.967197
8.670644 11.000000 -9.281330
8.670644 11.050000 -9.106735
8.670644 11.100000 -8.821227
8.670644 11.150000 -8.650436
8.670644 11.200000 -8.357940
8.670644 11.250000 -8.184731
8.670644 11.300000 -7.899221
8.670644 11.350000 -7.728429
8.670644 11.400000 -7.449976
8.670644 11.450000 -7.281678
8.670644 11.500000 -6.997714
8.670644 11.550000 -6.827463
8.670644 11.600000 -6.555324
8.670644 11.650000 -6.389307
8.670644 11.700000 -6.112781
8.670644 11.750000 -5.945175
8.638557 11.000000 -9.249156
8.638557 11.050000 -9.074954
8.638557 11.100000 -8.790545
8.638557 11.150000 -8.620139
8.638557 11.200000 -8.328819
8.638557 11.250000 -8.156014
8.638557 11.300000 -7.871649
8.638557 11.350000 -7.701259
8.638557 11.400000 -7.423917
8.638557 11.450000 -7.256018
8.638557 11.500000 -6.973235
8.638557 11.550000 -6.803401
8.638557 11.600000 -6.532369
8.638557 11.650000 -6.366756
8.638557 11.700000 -6.091400
8.638557 11.750000 -5.924216
8.606787 11.000000 -9.214606
8.606787 11.050000 -9.040929
8.606787 11.100000 -8.757953
8.606787 11.150000 -8.588051
8.606787 11.200000 -8.298239
8.606787 11.250000 -8.125953
8.606787 11.300000 -7.843030
8.606787 11.350000 -7.673146
8.606787 11.400000 -7.397180
8.606787 11.450000 -7.229776
8.606787 11.500000 -6.948430
8.606787 11.550000 -6.779104
8.606787 11.600000 -6.509396
8.606787 11.650000 -6.344268
8.606787 11.700000 -6.070286
8.606787 11.750000 -5.903599
8.575017 11.000000 -9.182603
8.575017 11.050000 -9.009376
8.575017 11.100000 -8.727637
8.575017 11.150000 -8.558172
8.575017 11.200000 -8.269671
8.575017 11.250000 -8.097838
8.575017 11.300000 -7.816180
8.575017 11.350000 -7.646744
8.575017 11.400000 -7.371995
8.575017 11.450000 -7.205030
8.575017 11.500000 -6.924966
8.575017 11.550000 -6.756095
8.575017 11.600000 -6.487577
8.575017 11.650000 -6.322888
8.575017 11.700000 -6.050152
8.575017 11.750000 -5.883917
8.575017 11.800000 -5.619185
8.543247 11.000000 -9.152797
8.543247 11.050000 -8.979961
8.543247 11.100000 -8.699300
8.543247 11.150000 -8.530216
8.543247 11.200000 -8.242867
8.543247 11.250000 -8.071433
8.543247 11.300000 -7.790895
8.543247 11.350000 -7.621854
8.543247 11.400000 -7.348190
8.543247 11.450000 -7.181618
8.543247 11.500000 -6.902705
8.543247 11.550000 -6.734243
8.543247 11.600000 -6.466802
8.543247 11.650000 -6.302511
8.543247 11.700000 -6.030910
8.543247 11.750000 -5.865088
8.543247 11.800000 -5.601445
8.511792 11.000000 -9.121127
8.511792 11.050000 -8.948799
8.511792 11.100000 -8.669510
8.511792 11.150000 -8.500914
8.511792 11.200000 -8.215005
8.511792 11.250000 -8.044073
8.511792 11.300000 -7.764911
8.511792 11.350000 -7.596361
8.511792 11.400000 -7.324009
8.511792 11.450000 -7.157914
8.511792 11.500000 -6.880369
8.511792 11.550000 -6.712397
8.511792 11.600000 -6.446216
8.511792 11.650000 -6.282391
8.511792 11.700000 -6.012096
8.511792 11.750000 -5.846753
8.511792 11.800000 -5.584341
8.480336 11.000000 -9.091610
8.480336 11.050000 -8.919723
8.480336 11.100000 -8.641632
8.480336 11.150000 -8.473464
8.480336 11.200000 -8.188823
8.480336 11.250000 -8.018335
8.480336 11.300000 -7.740395
8.480336 11.350000 -7.572281
8.480336 11.400000 -7.301103
8.480336 11.450000 -7.135436
8.480336 11.500000 -6.859126
8.480336 11.550000 -6.691597
8.480336 11.600000 -6.426561
8.480336 11.650000 -6.263163
8.480336 11.700000 -5.994063
8.480336 11.750000 -5.829160
8.480336 11.800000 -5.567885
8.448880 11.000000 -9.063972
8.448880 11.050000 -8.892473
8.448880 11.100000 -8.615436
8.448880 11.150000 -8.447647
8.448880 11.200000 -8.164130
8.448880 11.250000 -7.994038
8.448880 11.300000 -7.717189
8.448880 11.350000 -7.549466
8.448880 11.400000 -7.279345
8.448880 11.450000 -7.114066
8.448880 11.500000 -6.838874
8.448880 11.550000 -6.671748
8.448880 11.600000 -6.407758
8.448880 11.650000 -6.244750
8.448880 11.700000 -5.976750
8.448880 11.750000 -5.812252
8.448880 11.800000 -5.552031
8.417736 11.000000 -9.034909
8.417736 11.050000 -8.863903
8.417736 11.100000 -8.588180
8.417736 11.150000 -8.420863
8.417736 11.200000 -8.138724
8.417736 11.250000 -7.969117
8.417736 11.300000 -7.693583
8.417736 11.350000 -7.526334
8.417736 11.400000 -7.257465
8.417736 11.450000 -7.092647
8.417736 11.500000 -6.818759
8.417736 11.550000 -6.652106
8.417736 11.600000 -6.389315
8.417736 11.650000 -6.226757
8.417736 11.700000 -5.959999
8.417736 11.750000 -5.795961
8.417736 11.800000 -5.536911
8.386591 11.000000 -9.007669
8.386591 11.050000 -8.837096
8.386591 11.100000 -8.562533
8.386591 11.150000 -8.395635
8.386591 11.200000 -8.114722
8.386591 11.250000 -7.945549
8.386591 11.300000 -7.671194
8.386591 11.350000 -7.504372
8.386591 11.400000 -7.236635
8.386591 11.450000 -7.072234
8.386591 11.500000 -6.799535
8.386591 11.550000 -6.633314
8.386591 11.600000 -6.371624
8.386591 11.650000 -6.209480
8.386591 11.700000 -5.943871
8.386591 11.750000 -5.780259
8.386591 11.800000 -5.522299
8.386591 11.850000 -5.361570
8.355446 11.000000 -8.982038
8.355446 11.050000 -8.811849
8.355446 11.100000 -8.538317
8.355446 11.150000 -8.371792
8.355446 11.200000 -8.091977
8.355446 11.250000 -7.923194
8.355446 11.300000 -7.649904
8.355446 11.350000 -7.483467
8.355446 11.400000 -7.216759
8.355446 11.450000 -7.052739
8.355446 11.500000 -6.781126
8.355446 11.550000 -6.615301
8.355446 11.600000 -6.354625
8.355446 11.650000 -6.192864
8.355446 11.700000 -5.928320
8.355446 11.750000 -5.765105
8.355446 11.800000 -5.508164
8.355446 11.850000 -5.347823
8.324609 11.000000 -8.955358
8.324609 11.050000 -8.785646
8.324609 11.100000 -8.513372
8.324609 11.150000 -8.347306
8.324609 11.200000 -8.068809
8.324609 11.250000 -7.900496
8.324609 11.300000 -7.628463
8.324609 11.350000 -7.462484
8.324609 11.400000 -7.196973
8.324609 11.450000 -7.033397
8.324609 11.500000 -6.763029
8.324609 11.550000 -6.597659
8.324609 11.600000 -6.338127
8.324609 11.650000 -6.176800
8.324609 11.700000 -5.913437
8.324609 11.750000 -5.750665
8.324609 11.800000 -5.494838
8.324609 11.850000 -5.334923
8.293773 11.000000 -8.930222
8.293773 11.050000 -8.760935
8.293773 11.100000 -8.489783
8.293773 11.150000 -8.324127
8.293773 11.200000 -8.046814
8.293773 11.250000 -7.878925
8.293773 11.300000 -7.608031
8.293773 11.350000 -7.442468
8.293773 11.400000 -7.178049
8.293773 11.450000 -7.014880
8.293773 11.500000 -6.745656
8.293773 11.550000 -6.580706
8.293773 11.600000 -6.322233
8.293773 11.650000 -6.161308
8.293773 11.700000 -5.899048
8.293773 11.750000 -5.736689
8.293773 11.800000 -5.481908
8.293773 11.850000 -5.322396
8.262936 11.000000 -8.906461
8.262936 11.050000 -8.737554
8.262936 11.100000 -8.467410
8.262936 11.150000 -8.302122
8.262936 11.200000 -8.025880
8.262936 11.250000 -7.858376
8.262936 11.300000 -7.588517
8.262936 11.350000 -7.423334
8.262936 11.400000 -7.159915
8.262936 11.450000 -6.997121
8.262936 11.500000 -6.728951
8.262936 11.550000 -6.564390
8.262936 11.600000 -6.306900
8.262936 11.650000 -6.146350
8.262936 11.700000 -5.885120
8.262936 11.750000 -5.723150
8.262936 11.800000 -5.469352
8.262936 11.850000 -5.310220
8.232404 11.000000 -8.881980
8.232404 11.050000 -8.713535
8.232404 11.100000 -8.444598
8.232404 11.150000 -8.279754
