#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
9.070980 -16.925007 -18.484452 -15.941696 -13.938003 -15.201279 -13.118123 -11.428357 -12.447282 -10.725639 -9.209029 -10.085983 -8.634879
9.046991 -16.819951 -18.368592 -15.845731 -13.841808 -15.095633 -13.030356 -11.339601 -12.349429 -10.644404 -9.127054 -9.995137 -8.560095
9.023060 -16.719691 -18.257804 -15.754146 -13.750118 -14.994596 -12.946631 -11.255120 -12.256243 -10.566968 -9.049156 -9.908493 -8.488855
8.999186 -16.619430 -18.147017 -15.662561 -13.658428 -14.893558 -12.862906 -11.170639 -12.163058 -10.489532 -8.971258 -9.821849 -8.417616
8.975368 -16.519170 -18.036230 -15.570976 -13.566737 -14.792520 -12.779181 -11.086158 -12.069872 -10.412096 -8.893360 -9.735205 -8.346377
8.951607 -16.418910 -17.925442 -15.479391 -13.475047 -14.691482 -12.695456 -11.001677 -11.976686 -10.334659 -8.815462 -9.648561 -8.275138
8.927903 -16.318650 -17.814655 -15.387806 -13.383357 -14.590444 -12.611731 -10.917195 -11.883501 -10.257223 -8.737564 -9.561917 -8.203898
8.904255 -16.218389 -17.703867 -15.296221 -13.291666 -14.489406 -12.528006 -10.832714 -11.790315 -10.179787 -8.659667 -9.475273 -8.132659
8.880664 -16.122604 -17.597441 -15.208788 -13.204110 -14.392786 -12.448090 -10.752084 -11.701337 -10.105913 -8.585377 -9.392591 -8.064505
8.857129 -16.028144 -17.492305 -15.122584 -13.117778 -14.297474 -12.369302 -10.672595 -11.613604 -10.033093 -8.512156 -9.311081 -7.997265
8.833649 -15.933684 -17.387170 -15.036380 -13.031446 -14.202162 -12.290514 -10.593105 -11.525872 -9.960273 -8.438935 -9.229572 -7.930025
8.810226 -15.839224 -17.282034 -14.950176 -12.945114 -14.106849 -12.211725 -10.513616 -11.438139 -9.887453 -8.365713 -9.148063 -7.862785
8.786859 -15.744765 -17.176899 -14.863971 -12.858782 -14.011537 -12.132937 -10.434126 -11.350407 -9.814633 -8.292492 -9.066553 -7.795545
8.763547 -15.650305 -17.071763 -14.777767 -12.772450 -13.916225 -12.054149 -10.354637 -11.262674 -9.741813 -8.219271 -8.985044 -7.728304
8.740291 -15.557299 -16.968255 -14.692893 -12.687449 -13.822384 -11.976600 -10.276374 -11.176264 -9.670146 -8.147195 -8.904829 -7.662131
8.717090 -15.468100 -16.869007 -14.611499 -12.605930 -13.732393 -11.902293 -10.201322 -11.093316 -9.601494 -8.078117 -8.828002 -7.598750
8.693944 -15.378900 -16.769758 -14.530105 -12.524411 -13.642401 -11.827986 -10.126270 -11.010367 -9.532843 -8.009038 -8.751175 -7.535368
8.670854 -15.289701 -16.670509 -14.448710 -12.442892 -13.552409 -11.753680 -10.051218 -10.927418 -9.464191 -7.939959 -8.674348 -7.471987
8.647818 -15.200502 -16.571260 -14.367316 -12.361374 -13.462417 -11.679373 -9.976166 -10.844469 -9.395540 -7.870881 -8.597520 -7.408605
8.624837 -15.111302 -16.472012 -14.285922 -12.279855 -13.372426 -11.605066 -9.901114 -10.761520 -9.326889 -7.801802 -8.520693 -7.345224
8.601912 -15.022103 -16.372763 -14.204527 -12.198336 -13.282434 -11.530759 -9.826062 -10.678571 -9.258237 -7.732724 -8.443866 -7.281842
8.579040 -14.936837 -16.277500 -14.126557 -12.120433 -13.196166 -11.459793 -9.754375 -10.599302 -9.192574 -7.666792 -8.370562 -7.221218
8.556224 -14.852670 -16.183351 -14.049545 -12.043540 -13.110939 -11.389760 -9.683629 -10.521062 -9.127746 -7.601739 -8.298244 -7.161366
8.533461 -14.768504 -16.089202 -13.972533 -11.966647 -13.025713 -11.319727 -9.612883 -10.442821 -9.062918 -7.536687 -8.225926 -7.101513
8.510753 -14.684337 -15.995053 -13.895520 -11.889755 -12.940486 -11.249695 -9.542137 -10.364581 -8.998090 -7.471635 -8.153607 -7.041660
8.488099 -14.600171 -15.900905 -13.818508 -11.812862 -12.855260 -11.179662 -9.471391 -10.286340 -8.933262 -7.406583 -8.081289 -6.981808
8.465499 -14.516004 -15.806756 -13.741496 -11.735969 -12.770033 -11.109629 -9.400645 -10.208100 -8.868434 -7.341531 -8.008971 -6.921955
8.442952 -14.433199 -15.713987 -13.665715 -11.660325 -12.686074 -11.040697 -9.331058 -10.131132 -8.804622 -7.277559 -7.937867 -6.863030
