#Average average black hole accretion rate (BHAR) to star formation rate (SFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR/SFR)
9.477609 11.350000 -5.969355
9.477609 11.400000 -5.802613
9.477609 11.450000 -5.635869
9.477609 11.500000 -5.469126
9.423652 11.000000 -7.136967
9.423652 11.050000 -6.959873
9.423652 11.100000 -6.782780
9.423652 11.150000 -6.611087
9.423652 11.200000 -6.439395
9.423652 11.250000 -6.267703
9.423652 11.300000 -6.096010
9.423652 11.350000 -5.931092
9.423652 11.400000 -5.766173
9.423652 11.450000 -5.601254
9.423652 11.500000 -5.436336
9.369696 11.000000 -7.085614
9.369696 11.050000 -6.910414
9.369696 11.100000 -6.735214
9.369696 11.150000 -6.565391
9.369696 11.200000 -6.395568
9.369696 11.250000 -6.225746
9.369696 11.300000 -6.055923
9.369696 11.350000 -5.892829
9.369696 11.400000 -5.729734
9.369696 11.450000 -5.566639
9.369696 11.500000 -5.403544
9.369696 11.550000 -5.248484
9.316568 11.000000 -7.039033
9.316568 11.050000 -6.865627
9.316568 11.100000 -6.692221
9.316568 11.150000 -6.524161
9.316568 11.200000 -6.356101
9.316568 11.250000 -6.188041
9.316568 11.300000 -6.019981
9.316568 11.350000 -5.858597
9.316568 11.400000 -5.697212
9.316568 11.450000 -5.535828
9.316568 11.500000 -5.374444
9.316568 11.550000 -5.221017
9.263441 11.000000 -6.992451
9.263441 11.050000 -6.820839
9.263441 11.100000 -6.649228
9.263441 11.150000 -6.482930
9.263441 11.200000 -6.316633
9.263441 11.250000 -6.150336
9.263441 11.300000 -5.984038
9.263441 11.350000 -5.824365
9.263441 11.400000 -5.664691
9.263441 11.450000 -5.505017
9.263441 11.500000 -5.345343
9.263441 11.550000 -5.193549
9.210314 11.000000 -6.945870
9.210314 11.050000 -6.776052
9.210314 11.100000 -6.606235
9.210314 11.150000 -6.441700
9.210314 11.200000 -6.277165
9.210314 11.250000 -6.112631
9.210314 11.300000 -5.948097
9.210314 11.350000 -5.790133
9.210314 11.400000 -5.632169
9.210314 11.450000 -5.474206
9.210314 11.500000 -5.316242
9.210314 11.550000 -5.166081
9.210314 11.600000 -5.015921
9.158003 11.000000 -6.903468
9.158003 11.050000 -6.735348
9.158003 11.100000 -6.567230
9.158003 11.150000 -6.404355
9.158003 11.200000 -6.241481
9.158003 11.250000 -6.078606
9.158003 11.300000 -5.915731
9.158003 11.350000 -5.759370
9.158003 11.400000 -5.603009
9.158003 11.450000 -5.446648
9.158003 11.500000 -5.290287
9.158003 11.550000 -5.141649
9.158003 11.600000 -4.993011
9.105692 11.000000 -6.861066
9.105692 11.050000 -6.694645
9.105692 11.100000 -6.528223
9.105692 11.150000 -6.367009
9.105692 11.200000 -6.205796
9.105692 11.250000 -6.044581
9.105692 11.300000 -5.883367
9.105692 11.350000 -5.728608
9.105692 11.400000 -5.573850
9.105692 11.450000 -5.419091
9.105692 11.500000 -5.264333
9.105692 11.550000 -5.117217
9.105692 11.600000 -4.970102
9.053381 11.000000 -6.818666
9.053381 11.050000 -6.653941
9.053381 11.100000 -6.489217
9.053381 11.150000 -6.329664
9.053381 11.200000 -6.170110
9.053381 11.250000 -6.010556
9.053381 11.300000 -5.851002
9.053381 11.350000 -5.697846
9.053381 11.400000 -5.544690
9.053381 11.450000 -5.391534
9.053381 11.500000 -5.238378
9.053381 11.550000 -5.092785
9.053381 11.600000 -4.947192
9.053381 11.650000 -4.801599
9.001875 11.000000 -6.767289
9.001875 11.050000 -6.604132
9.001875 11.100000 -6.440977
9.001875 11.150000 -6.282990
9.001875 11.200000 -6.125004
9.001875 11.250000 -5.967018
9.001875 11.300000 -5.809032
9.001875 11.350000 -5.657434
9.001875 11.400000 -5.505836
9.001875 11.450000 -5.354238
9.001875 11.500000 -5.202642
9.001875 11.550000 -5.058586
9.001875 11.600000 -4.914530
9.001875 11.650000 -4.770473
8.950368 11.000000 -6.715912
8.950368 11.050000 -6.554324
8.950368 11.100000 -6.392736
8.950368 11.150000 -6.236317
8.950368 11.200000 -6.079898
8.950368 11.250000 -5.923479
8.950368 11.300000 -5.767060
8.950368 11.350000 -5.617022
8.950368 11.400000 -5.466983
8.950368 11.450000 -5.316944
8.950368 11.500000 -5.166905
8.950368 11.550000 -5.024386
8.950368 11.600000 -4.881867
8.950368 11.650000 -4.739347
8.898861 11.000000 -6.664535
8.898861 11.050000 -6.504515
8.898861 11.100000 -6.344496
8.898861 11.150000 -6.189644
8.898861 11.200000 -6.034792
8.898861 11.250000 -5.879941
8.898861 11.300000 -5.725090
8.898861 11.350000 -5.576609
8.898861 11.400000 -5.428129
8.898861 11.450000 -5.279648
8.898861 11.500000 -5.131168
8.898861 11.550000 -4.990186
8.898861 11.600000 -4.849204
8.898861 11.650000 -4.708221
8.898861 11.700000 -4.567240
8.848146 11.000000 -6.616224
8.848146 11.050000 -6.457727
8.848146 11.100000 -6.299229
8.848146 11.150000 -6.145894
8.848146 11.200000 -5.992559
8.848146 11.250000 -5.839224
8.848146 11.300000 -5.685889
8.848146 11.350000 -5.538907
8.848146 11.400000 -5.391926
8.848146 11.450000 -5.244944
8.848146 11.500000 -5.097962
8.848146 11.550000 -4.958445
8.848146 11.600000 -4.818928
8.848146 11.650000 -4.679409
8.848146 11.700000 -4.539892
8.797431 11.000000 -6.567914
8.797431 11.050000 -6.410938
8.797431 11.100000 -6.253962
8.797431 11.150000 -6.102144
8.797431 11.200000 -5.950326
8.797431 11.250000 -5.798508
8.797431 11.300000 -5.646689
8.797431 11.350000 -5.501207
8.797431 11.400000 -5.355723
8.797431 11.450000 -5.210240
8.797431 11.500000 -5.064757
8.797431 11.550000 -4.926704
8.797431 11.600000 -4.788651
8.797431 11.650000 -4.650597
8.797431 11.700000 -4.512544
8.746716 11.000000 -6.519604
8.746716 11.050000 -6.364150
8.746716 11.100000 -6.208696
8.746716 11.150000 -6.058394
8.746716 11.200000 -5.908093
8.746716 11.250000 -5.757791
8.746716 11.300000 -5.607490
8.746716 11.350000 -5.463505
8.746716 11.400000 -5.319521
8.746716 11.450000 -5.175536
8.746716 11.500000 -5.031552
8.746716 11.550000 -4.894963
8.746716 11.600000 -4.758375
8.746716 11.650000 -4.621785
8.746716 11.700000 -4.485197
8.696780 11.000000 -6.479419
8.696780 11.050000 -6.325446
8.696780 11.100000 -6.171472
8.696780 11.150000 -6.022628
8.696780 11.200000 -5.873784
8.696780 11.250000 -5.724940
8.696780 11.300000 -5.576096
8.696780 11.350000 -5.433530
8.696780 11.400000 -5.290964
8.696780 11.450000 -5.148398
8.696780 11.500000 -5.005832
8.696780 11.550000 -4.870603
8.696780 11.600000 -4.735373
8.696780 11.650000 -4.600143
8.696780 11.700000 -4.464915
8.696780 11.750000 -4.337779
8.646845 11.000000 -6.439235
8.646845 11.050000 -6.286742
8.646845 11.100000 -6.134248
8.646845 11.150000 -5.986861
8.646845 11.200000 -5.839476
8.646845 11.250000 -5.692089
8.646845 11.300000 -5.544703
8.646845 11.350000 -5.403555
8.646845 11.400000 -5.262408
8.646845 11.450000 -5.121260
8.646845 11.500000 -4.980112
8.646845 11.550000 -4.846242
8.646845 11.600000 -4.712372
8.646845 11.650000 -4.578502
8.646845 11.700000 -4.444632
8.646845 11.750000 -4.318781
8.596909 11.000000 -6.399050
8.596909 11.050000 -6.248037
8.596909 11.100000 -6.097023
8.596909 11.150000 -5.951095
8.596909 11.200000 -5.805167
8.596909 11.250000 -5.659238
8.596909 11.300000 -5.513310
8.596909 11.350000 -5.373581
8.596909 11.400000 -5.233852
8.596909 11.450000 -5.094121
8.596909 11.500000 -4.954392
8.596909 11.550000 -4.821882
8.596909 11.600000 -4.689372
8.596909 11.650000 -4.556860
8.596909 11.700000 -4.424350
8.596909 11.750000 -4.299782
8.547741 11.000000 -6.363367
8.547741 11.050000 -6.213755
8.547741 11.100000 -6.064145
8.547741 11.150000 -5.919588
8.547741 11.200000 -5.775032
8.547741 11.250000 -5.630475
8.547741 11.300000 -5.485918
8.547741 11.350000 -5.347516
8.547741 11.400000 -5.209113
8.547741 11.450000 -5.070710
8.547741 11.500000 -4.932307
8.547741 11.550000 -4.801059
8.547741 11.600000 -4.669811
8.547741 11.650000 -4.538563
8.547741 11.700000 -4.407315
8.547741 11.750000 -4.283932
8.547741 11.800000 -4.160549
8.498573 11.000000 -6.327684
8.498573 11.050000 -6.179474
8.498573 11.100000 -6.031265
8.498573 11.150000 -5.888080
8.498573 11.200000 -5.744896
8.498573 11.250000 -5.601713
8.498573 11.300000 -5.458528
8.498573 11.350000 -5.321451
8.498573 11.400000 -5.184374
8.498573 11.450000 -5.047297
8.498573 11.500000 -4.910221
8.498573 11.550000 -4.780236
8.498573 11.600000 -4.650250
8.498573 11.650000 -4.520265
8.498573 11.700000 -4.390281
8.498573 11.750000 -4.268083
8.498573 11.800000 -4.145885
8.449405 11.000000 -6.292001
8.449405 11.050000 -6.145193
8.449405 11.100000 -5.998386
8.449405 11.150000 -5.856573
8.449405 11.200000 -5.714761
8.449405 11.250000 -5.572949
8.449405 11.300000 -5.431137
8.449405 11.350000 -5.295386
8.449405 11.400000 -5.159636
8.449405 11.450000 -5.023885
8.449405 11.500000 -4.888134
8.449405 11.550000 -4.759412
8.449405 11.600000 -4.630690
8.449405 11.650000 -4.501968
8.449405 11.700000 -4.373245
8.449405 11.750000 -4.252233
8.449405 11.800000 -4.131221
8.400992 11.000000 -6.260168
8.400992 11.050000 -6.114684
8.400992 11.100000 -5.969200
8.400992 11.150000 -5.828678
8.400992 11.200000 -5.688155
8.400992 11.250000 -5.547631
8.400992 11.300000 -5.407108
8.400992 11.350000 -5.272595
8.400992 11.400000 -5.138082
8.400992 11.450000 -5.003570
8.400992 11.500000 -4.869057
8.400992 11.550000 -4.741506
8.400992 11.600000 -4.613955
8.400992 11.650000 -4.486404
8.400992 11.700000 -4.358853
8.400992 11.750000 -4.238935
8.400992 11.800000 -4.119017
8.400992 11.850000 -3.999098
8.352580 11.000000 -6.228333
8.352580 11.050000 -6.084175
8.352580 11.100000 -5.940016
8.352580 11.150000 -5.800782
8.352580 11.200000 -5.661547
8.352580 11.250000 -5.522313
8.352580 11.300000 -5.383078
8.352580 11.350000 -5.249804
8.352580 11.400000 -5.116529
8.352580 11.450000 -4.983255
8.352580 11.500000 -4.849980
8.352580 11.550000 -4.723600
8.352580 11.600000 -4.597221
8.352580 11.650000 -4.470841
8.352580 11.700000 -4.344462
8.352580 11.750000 -4.225637
8.352580 11.800000 -4.106812
8.352580 11.850000 -3.987988
8.304168 11.000000 -6.196499
8.304168 11.050000 -6.053665
8.304168 11.100000 -5.910831
8.304168 11.150000 -5.772886
8.304168 11.200000 -5.634940
8.304168 11.250000 -5.496994
8.304168 11.300000 -5.359049
8.304168 11.350000 -5.227013
8.304168 11.400000 -5.094975
8.304168 11.450000 -4.962939
8.304168 11.500000 -4.830902
8.304168 11.550000 -4.705694
8.304168 11.600000 -4.580486
8.304168 11.650000 -4.455278
8.304168 11.700000 -4.330070
8.304168 11.750000 -4.212339
8.304168 11.800000 -4.094608
8.304168 11.850000 -3.976877
8.256499 11.000000 -6.168015
8.256499 11.050000 -6.026430
