#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "no mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
9.423652 11.400000 0.732501
9.423652 11.450000 0.729120
9.423652 11.500000 0.725740
9.369696 11.000000 0.749608
9.369696 11.050000 0.746140
9.369696 11.100000 0.742672
9.369696 11.150000 0.739188
9.369696 11.200000 0.735705
9.369696 11.250000 0.732221
9.369696 11.300000 0.728737
9.369696 11.350000 0.725368
9.369696 11.400000 0.721998
9.369696 11.450000 0.718629
9.369696 11.500000 0.715260
9.369696 11.550000 0.712199
9.316568 11.000000 0.739702
9.316568 11.050000 0.736244
9.316568 11.100000 0.732785
9.316568 11.150000 0.729321
9.316568 11.200000 0.725858
9.316568 11.250000 0.722394
9.316568 11.300000 0.718930
9.316568 11.350000 0.715594
9.316568 11.400000 0.712258
9.316568 11.450000 0.708921
9.316568 11.500000 0.705585
9.316568 11.550000 0.702572
9.263441 11.000000 0.729797
9.263441 11.050000 0.726348
9.263441 11.100000 0.722898
9.263441 11.150000 0.719455
9.263441 11.200000 0.716011
9.263441 11.250000 0.712567
9.263441 11.300000 0.709123
9.263441 11.350000 0.705820
9.263441 11.400000 0.702517
9.263441 11.450000 0.699214
9.263441 11.500000 0.695910
9.263441 11.550000 0.692945
9.210314 11.000000 0.719891
9.210314 11.050000 0.716451
9.210314 11.100000 0.713011
9.210314 11.150000 0.709588
9.210314 11.200000 0.706164
9.210314 11.250000 0.702740
9.210314 11.300000 0.699316
9.210314 11.350000 0.696046
9.210314 11.400000 0.692776
9.210314 11.450000 0.689506
9.210314 11.500000 0.686236
9.210314 11.550000 0.683318
9.210314 11.600000 0.680400
9.158003 11.000000 0.710496
9.158003 11.050000 0.707081
9.158003 11.100000 0.703667
9.158003 11.150000 0.700281
9.158003 11.200000 0.696894
9.158003 11.250000 0.693507
9.158003 11.300000 0.690121
9.158003 11.350000 0.686900
9.158003 11.400000 0.683680
9.158003 11.450000 0.680459
9.158003 11.500000 0.677239
9.158003 11.550000 0.674384
9.158003 11.600000 0.671528
9.105692 11.000000 0.701100
9.105692 11.050000 0.697711
9.105692 11.100000 0.694323
9.105692 11.150000 0.690974
9.105692 11.200000 0.687624
9.105692 11.250000 0.684275
9.105692 11.300000 0.680925
9.105692 11.350000 0.677755
9.105692 11.400000 0.674584
9.105692 11.450000 0.671413
9.105692 11.500000 0.668242
9.105692 11.550000 0.665449
9.105692 11.600000 0.662656
9.053381 11.000000 0.691704
9.053381 11.050000 0.688341
9.053381 11.100000 0.684979
9.053381 11.150000 0.681667
9.053381 11.200000 0.678354
9.053381 11.250000 0.675042
9.053381 11.300000 0.671730
9.053381 11.350000 0.668609
9.053381 11.400000 0.665488
9.053381 11.450000 0.662367
9.053381 11.500000 0.659246
9.053381 11.550000 0.656515
9.053381 11.600000 0.653785
