#Average black hole merger rate (BHMR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHMR)@log(Mpeak)=12 log10(BHMR)_16@log(Mpeak)=12 log10(BHMR)_84@log(Mpeak)=12 log10(BHMR)@log(Mpeak)=13 log10(BHMR)_16@log(Mpeak)=13 log10(BHMR)_84@log(Mpeak)=13 log10(BHMR)@log(Mpeak)=14 log10(BHMR)_16@log(Mpeak)=14 log10(BHMR)_84@log(Mpeak)=14 log10(BHMR)@log(Mpeak)=15 log10(BHMR)_16@log(Mpeak)=15 log10(BHMR)_84@log(Mpeak)=15
9.070980 -21.654682 -25.042542 -21.290965 -18.516108 -21.761312 -18.240631 -15.858308 -19.002014 -15.703196 -13.509539 -16.580973 -13.433790
9.046991 -21.543642 -24.925311 -21.182625 -18.414743 -21.668687 -18.139320 -15.764324 -18.901434 -15.616147 -13.422477 -16.494922 -13.350873
9.023060 -21.437682 -24.805505 -21.076021 -18.318004 -21.574007 -18.043337 -15.675185 -18.804930 -15.531234 -13.340145 -16.402620 -13.274610
8.999186 -21.331722 -24.685699 -20.969417 -18.221265 -21.479328 -17.947355 -15.586045 -18.708427 -15.446321 -13.257813 -16.310319 -13.198347
8.975368 -21.225762 -24.565894 -20.862814 -18.124526 -21.384649 -17.851372 -15.496906 -18.611924 -15.361409 -13.175481 -16.218017 -13.122084
8.951607 -21.119802 -24.446088 -20.756210 -18.027787 -21.289970 -17.755389 -15.407767 -18.515421 -15.276496 -13.093148 -16.125716 -13.045820
8.927903 -21.013842 -24.326282 -20.649606 -17.931048 -21.195291 -17.659406 -15.318628 -18.418918 -15.191584 -13.010816 -16.033414 -12.969557
8.904255 -20.907882 -24.206476 -20.543002 -17.834309 -21.100612 -17.563423 -15.229489 -18.322415 -15.106671 -12.928484 -15.941113 -12.893294
8.880664 -20.804279 -24.088668 -20.438706 -17.738576 -20.987037 -17.471079 -15.141159 -18.222617 -15.020150 -12.846430 -15.852259 -12.815173
8.857129 -20.701374 -23.971452 -20.335094 -17.643142 -20.867868 -17.379811 -15.053069 -18.121843 -14.933152 -12.764458 -15.764425 -12.736502
8.833649 -20.598469 -23.854237 -20.231481 -17.547707 -20.748699 -17.288544 -14.964980 -18.021070 -14.846155 -12.682487 -15.676591 -12.657831
8.810226 -20.495563 -23.737021 -20.127869 -17.452272 -20.629530 -17.197276 -14.876890 -17.920296 -14.759157 -12.600515 -15.588757 -12.579159
8.786859 -20.392658 -23.619805 -20.024257 -17.356837 -20.510360 -17.106009 -14.788800 -17.819523 -14.672160 -12.518544 -15.500924 -12.500488
8.763547 -20.289753 -23.502589 -19.920644 -17.261403 -20.391191 -17.014742 -14.700711 -17.718749 -14.585163 -12.436572 -15.413090 -12.421817
8.740291 -20.188183 -23.389864 -19.819882 -17.167061 -20.279624 -16.923782 -14.613665 -17.625275 -14.499481 -12.355525 -15.327099 -12.344442
8.717090 -20.090108 -23.288885 -19.726578 -17.075582 -20.187948 -16.833627 -14.529352 -17.550897 -14.417241 -12.276899 -15.245929 -12.270459
8.693944 -19.992033 -23.187907 -19.633273 -16.984102 -20.096271 -16.743472 -14.445039 -17.476519 -14.335001 -12.198272 -15.164759 -12.196476
8.670854 -19.893958 -23.086929 -19.539968 -16.892622 -20.004595 -16.653316 -14.360726 -17.402141 -14.252761 -12.119646 -15.083589 -12.122493
8.647818 -19.795883 -22.985950 -19.446664 -16.801142 -19.912918 -16.563161 -14.276414 -17.327763 -14.170521 -12.041019 -15.002420 -12.048509
8.624837 -19.697808 -22.884972 -19.353359 -16.709663 -19.821242 -16.473006 -14.192101 -17.253385 -14.088282 -11.962392 -14.921250 -11.974526
8.601912 -19.599732 -22.783994 -19.260055 -16.618183 -19.729565 -16.382851 -14.107788 -17.179008 -14.006042 -11.883766 -14.840080 -11.900543
8.579040 -19.506576 -22.692931 -19.173144 -16.531472 -19.644274 -16.300154 -14.027951 -17.094722 -13.930154 -11.809309 -14.771579 -11.830768
8.556224 -19.414794 -22.604641 -19.088022 -16.446095 -19.560769 -16.219542 -13.949365 -17.007666 -13.856043 -11.736019 -14.706621 -11.762170
