#Median black hole mass--galaxy total stellar mass relation from z=0-5 from IllustrisTNG300.
#Ref: Habouzit et al. 2020, https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1940H/abstract
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun]
2.000000 9.403696 6.284153
2.000000 9.429363 6.292362
2.000000 9.455029 6.300572
2.000000 9.480696 6.308781
2.000000 9.506363 6.316991
2.000000 9.532029 6.325200
2.000000 9.557696 6.333410
2.000000 9.583362 6.341620
2.000000 9.609029 6.349829
2.000000 9.634695 6.367125
2.000000 9.660362 6.405372
2.000000 9.686029 6.443620
2.000000 9.711695 6.481867
2.000000 9.737362 6.520115
2.000000 9.763028 6.558363
2.000000 9.788695 6.596610
2.000000 9.814361 6.634858
2.000000 9.840028 6.673105
2.000000 9.865694 6.711353
2.000000 9.891361 6.778548
2.000000 9.917028 6.870252
2.000000 9.942694 6.961956
2.000000 9.968361 7.053659
2.000000 9.994027 7.145363
2.000000 10.019694 7.237067
2.000000 10.045360 7.328770
2.000000 10.071027 7.420474
2.000000 10.096694 7.512178
2.000000 10.122360 7.603882
2.000000 10.148027 7.661782
2.000000 10.173693 7.708507
2.000000 10.199360 7.755232
2.000000 10.225026 7.801958
2.000000 10.250693 7.848683
2.000000 10.276360 7.895408
2.000000 10.302026 7.942020
2.000000 10.327693 7.987535
2.000000 10.353359 8.033049
2.000000 10.379026 8.078564
2.000000 10.404692 8.124078
2.000000 10.430359 8.168181
2.000000 10.456026 8.206996
2.000000 10.481692 8.245812
2.000000 10.507359 8.284627
2.000000 10.533025 8.323443
2.000000 10.558692 8.362258
2.000000 10.584358 8.401074
2.000000 10.610025 8.438335
2.000000 10.635692 8.463223
2.000000 10.661358 8.488112
2.000000 10.687025 8.513001
2.000000 10.712691 8.537890
2.000000 10.738358 8.562779
2.000000 10.764024 8.587667
2.000000 10.789691 8.608277
2.000000 10.815357 8.626900
2.000000 10.841024 8.645524
2.000000 10.866691 8.664148
2.000000 10.892357 8.682771
2.000000 10.918024 8.701395
2.000000 10.943690 8.719425
2.000000 10.969357 8.736809
2.000000 10.995023 8.754192
2.000000 11.020690 8.771575
