#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
9.423652 11.350000 0.214303
9.423652 11.400000 0.214188
9.423652 11.450000 0.214073
9.423652 11.500000 0.213959
9.369696 11.000000 0.210943
9.369696 11.050000 0.210062
9.369696 11.100000 0.209181
9.369696 11.150000 0.208651
9.369696 11.200000 0.208120
9.369696 11.250000 0.207590
9.369696 11.300000 0.207059
9.369696 11.350000 0.207009
9.369696 11.400000 0.206959
9.369696 11.450000 0.206909
9.369696 11.500000 0.206859
9.369696 11.550000 0.207458
9.316568 11.000000 0.204208
9.316568 11.050000 0.203399
9.316568 11.100000 0.202590
9.316568 11.150000 0.202133
9.316568 11.200000 0.201677
9.316568 11.250000 0.201220
9.316568 11.300000 0.200764
9.316568 11.350000 0.200788
9.316568 11.400000 0.200812
9.316568 11.450000 0.200836
9.316568 11.500000 0.200860
9.316568 11.550000 0.201530
9.263441 11.000000 0.197473
9.263441 11.050000 0.196736
9.263441 11.100000 0.195998
9.263441 11.150000 0.195616
9.263441 11.200000 0.195233
9.263441 11.250000 0.194851
9.263441 11.300000 0.194468
9.263441 11.350000 0.194566
9.263441 11.400000 0.194665
9.263441 11.450000 0.194763
9.263441 11.500000 0.194861
9.263441 11.550000 0.195603
9.210314 11.000000 0.190738
9.210314 11.050000 0.190072
9.210314 11.100000 0.189407
9.210314 11.150000 0.189098
9.210314 11.200000 0.188790
9.210314 11.250000 0.188481
9.210314 11.300000 0.188173
9.210314 11.350000 0.188345
9.210314 11.400000 0.188517
9.210314 11.450000 0.188690
9.210314 11.500000 0.188862
9.210314 11.550000 0.189676
9.210314 11.600000 0.190489
9.158003 11.000000 0.184847
9.158003 11.050000 0.184264
9.158003 11.100000 0.183680
9.158003 11.150000 0.183455
9.158003 11.200000 0.183229
9.158003 11.250000 0.183003
9.158003 11.300000 0.182778
9.158003 11.350000 0.183031
9.158003 11.400000 0.183284
9.158003 11.450000 0.183537
9.158003 11.500000 0.183790
9.158003 11.550000 0.184678
9.158003 11.600000 0.185566
9.105692 11.000000 0.178956
9.105692 11.050000 0.178455
9.105692 11.100000 0.177954
9.105692 11.150000 0.177812
9.105692 11.200000 0.177669
9.105692 11.250000 0.177526
9.105692 11.300000 0.177383
9.105692 11.350000 0.177716
9.105692 11.400000 0.178050
9.105692 11.450000 0.178383
