#Average average specific black hole accretion rate (SBHAR) to specific star formation rate (SSFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SBHAR/SSFR)
9.423652 11.400000 0.170240
9.423652 11.450000 0.165956
9.423652 11.500000 0.161671
9.369696 11.000000 0.200430
9.369696 11.050000 0.196897
9.369696 11.100000 0.193363
9.369696 11.150000 0.189427
9.369696 11.200000 0.185492
9.369696 11.250000 0.181555
9.369696 11.300000 0.177619
9.369696 11.350000 0.173317
9.369696 11.400000 0.169014
9.369696 11.450000 0.164712
9.369696 11.500000 0.160411
9.369696 11.550000 0.155832
9.316568 11.000000 0.199317
9.316568 11.050000 0.195752
9.316568 11.100000 0.192188
9.316568 11.150000 0.188233
9.316568 11.200000 0.184278
9.316568 11.250000 0.180323
9.316568 11.300000 0.176368
9.316568 11.350000 0.172062
9.316568 11.400000 0.167756
9.316568 11.450000 0.163450
9.316568 11.500000 0.159143
9.316568 11.550000 0.154578
9.263441 11.000000 0.198205
9.263441 11.050000 0.194609
9.263441 11.100000 0.191012
9.263441 11.150000 0.187039
9.263441 11.200000 0.183064
9.263441 11.250000 0.179090
9.263441 11.300000 0.175118
9.263441 11.350000 0.170807
9.263441 11.400000 0.166497
9.263441 11.450000 0.162186
9.263441 11.500000 0.157877
9.263441 11.550000 0.153326
9.210314 11.000000 0.197091
9.210314 11.050000 0.193465
9.210314 11.100000 0.189837
9.210314 11.150000 0.185844
9.210314 11.200000 0.181852
9.210314 11.250000 0.177858
9.210314 11.300000 0.173865
9.210314 11.350000 0.169552
9.210314 11.400000 0.165239
9.210314 11.450000 0.160924
9.210314 11.500000 0.156611
9.210314 11.550000 0.152073
9.210314 11.600000 0.147534
9.158003 11.000000 0.195894
9.158003 11.050000 0.192245
9.158003 11.100000 0.188595
9.158003 11.150000 0.184595
9.158003 11.200000 0.180594
9.158003 11.250000 0.176594
9.158003 11.300000 0.172594
9.158003 11.350000 0.168287
9.158003 11.400000 0.163982
9.158003 11.450000 0.159676
9.158003 11.500000 0.155370
9.158003 11.550000 0.150856
9.158003 11.600000 0.146342
9.105692 11.000000 0.194696
9.105692 11.050000 0.191025
9.105692 11.100000 0.187355
9.105692 11.150000 0.183347
9.105692 11.200000 0.179337
9.105692 11.250000 0.175329
9.105692 11.300000 0.171320
9.105692 11.350000 0.167023
9.105692 11.400000 0.162725
9.105692 11.450000 0.158426
9.105692 11.500000 0.154128
9.105692 11.550000 0.149639
9.105692 11.600000 0.145149
9.053381 11.000000 0.193497
9.053381 11.050000 0.189806
9.053381 11.100000 0.186115
9.053381 11.150000 0.182098
9.053381 11.200000 0.178081
9.053381 11.250000 0.174064
9.053381 11.300000 0.170049
9.053381 11.350000 0.165758
9.053381 11.400000 0.161468
9.053381 11.450000 0.157177
