#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
9.423652 11.400000 3.513736
9.423652 11.450000 3.769582
9.423652 11.500000 4.025428
9.369696 11.000000 1.480818
9.369696 11.050000 1.746653
9.369696 11.100000 2.012489
9.369696 11.150000 2.272974
9.369696 11.200000 2.533458
9.369696 11.250000 2.793943
9.369696 11.300000 3.054428
9.369696 11.350000 3.308073
9.369696 11.400000 3.561719
9.369696 11.450000 3.815365
9.369696 11.500000 4.069010
9.369696 11.550000 4.314304
9.316568 11.000000 1.540314
9.316568 11.050000 1.804006
9.316568 11.100000 2.067698
9.316568 11.150000 2.326059
9.316568 11.200000 2.584420
9.316568 11.250000 2.842781
9.316568 11.300000 3.101142
9.316568 11.350000 3.352702
9.316568 11.400000 3.604263
9.316568 11.450000 3.855823
9.316568 11.500000 4.107384
9.316568 11.550000 4.350653
9.263441 11.000000 1.599811
9.263441 11.050000 1.861359
9.263441 11.100000 2.122907
9.263441 11.150000 2.379144
9.263441 11.200000 2.635382
9.263441 11.250000 2.891619
9.263441 11.300000 3.147856
9.263441 11.350000 3.397331
9.263441 11.400000 3.646806
9.263441 11.450000 3.896282
9.263441 11.500000 4.145757
9.263441 11.550000 4.387002
9.210314 11.000000 1.659308
9.210314 11.050000 1.918712
9.210314 11.100000 2.178116
9.210314 11.150000 2.432230
9.210314 11.200000 2.686343
9.210314 11.250000 2.940457
9.210314 11.300000 3.194570
9.210314 11.350000 3.441960
9.210314 11.400000 3.689350
9.210314 11.450000 3.936740
9.210314 11.500000 4.184130
9.210314 11.550000 4.423351
9.210314 11.600000 4.662573
9.158003 11.000000 1.713203
9.158003 11.050000 1.970566
9.158003 11.100000 2.227929
9.158003 11.150000 2.480027
9.158003 11.200000 2.732125
9.158003 11.250000 2.984224
9.158003 11.300000 3.236322
9.158003 11.350000 3.481741
9.158003 11.400000 3.727159
9.158003 11.450000 3.972578
9.158003 11.500000 4.217996
9.158003 11.550000 4.455313
9.158003 11.600000 4.692629
9.105692 11.000000 1.767098
9.105692 11.050000 2.022420
9.105692 11.100000 2.277742
9.105692 11.150000 2.527825
9.105692 11.200000 2.777908
9.105692 11.250000 3.027991
9.105692 11.300000 3.278074
9.105692 11.350000 3.521521
9.105692 11.400000 3.764968
9.105692 11.450000 4.008416
9.105692 11.500000 4.251863
9.105692 11.550000 4.487274
9.105692 11.600000 4.722685
9.053381 11.000000 1.820993
9.053381 11.050000 2.074274
9.053381 11.100000 2.327555
9.053381 11.150000 2.575622
9.053381 11.200000 2.823690
9.053381 11.250000 3.071758
9.053381 11.300000 3.319825
9.053381 11.350000 3.561301
9.053381 11.400000 3.802777
9.053381 11.450000 4.044254
9.053381 11.500000 4.285730
9.053381 11.550000 4.519235
9.053381 11.600000 4.752741
9.053381 11.650000 4.986247
9.001875 11.000000 1.881386
9.001875 11.050000 2.132792
9.001875 11.100000 2.384197
9.001875 11.150000 2.630405
9.001875 11.200000 2.876612
9.001875 11.250000 3.122820
9.001875 11.300000 3.369028
9.001875 11.350000 3.608676
