#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(eta_avg)@log(Mpeak)=12 log10(eta_avg)_16@log(Mpeak)=12 log10(eta_avg)_84@log(Mpeak)=12 log10(eta_avg)@log(Mpeak)=13 log10(eta_avg)_16@log(Mpeak)=13 log10(eta_avg)_84@log(Mpeak)=13 log10(eta_avg)@log(Mpeak)=14 log10(eta_avg)_16@log(Mpeak)=14 log10(eta_avg)_84@log(Mpeak)=14 log10(eta_avg)@log(Mpeak)=15 log10(eta_avg)_16@log(Mpeak)=15 log10(eta_avg)_84@log(Mpeak)=15
8.904255 0.188771 0.131369 0.298459 0.162879 0.104824 0.274321 0.137630 0.075060 0.249782 0.112142 0.044019 0.220636
8.880664 0.184994 0.127486 0.294771 0.158947 0.100800 0.270504 0.133562 0.070911 0.245868 0.107957 0.039707 0.216540
8.857129 0.181212 0.123602 0.291075 0.155016 0.096781 0.266687 0.129502 0.066773 0.241961 0.103788 0.035422 0.212466
8.833649 0.177430 0.119718 0.287378 0.151085 0.092762 0.262870 0.125443 0.062635 0.238054 0.099620 0.031136 0.208391
8.810226 0.173649 0.115834 0.283682 0.147154 0.088743 0.259053 0.121383 0.058497 0.234147 0.095451 0.026850 0.204317
8.786859 0.169867 0.111950 0.279985 0.143223 0.084723 0.255236 0.117324 0.054359 0.230240 0.091282 0.022565 0.200242
8.763547 0.166085 0.108066 0.276288 0.139292 0.080704 0.251418 0.113264 0.050221 0.226333 0.087114 0.018279 0.196168
8.740291 0.162290 0.104175 0.272574 0.135353 0.076681 0.247588 0.109202 0.046083 0.222416 0.082947 0.014010 0.192102
8.717090 0.158459 0.100267 0.268813 0.131391 0.072645 0.243722 0.105133 0.041944 0.218472 0.078788 0.009785 0.188057
8.693944 0.154628 0.096359 0.265052 0.127430 0.068610 0.239856 0.101064 0.037805 0.214527 0.074628 0.005560 0.184013
8.670854 0.150797 0.092451 0.261291 0.123468 0.064575 0.235991 0.096994 0.033665 0.210583 0.070468 0.001335 0.179968
8.647818 0.146966 0.088542 0.257530 0.119506 0.060540 0.232125 0.092925 0.029526 0.206638 0.066309 -0.002890 0.175924
8.624837 0.143135 0.084634 0.253769 0.115545 0.056505 0.228259 0.088856 0.025387 0.202694 0.062149 -0.007115 0.171879
8.601912 0.139304 0.080726 0.250008 0.111583 0.052470 0.224393 0.084786 0.021248 0.198749 0.057990 -0.011341 0.167835
8.579040 0.135381 0.076739 0.246136 0.107528 0.048340 0.220417 0.080622 0.017031 0.194699 0.053738 -0.015650 0.163694
8.556224 0.131432 0.072731 0.242233 0.103446 0.044184 0.216410 0.076432 0.012793 0.190619 0.049460 -0.019982 0.159526
8.533461 0.127483 0.068722 0.238330 0.099364 0.040028 0.212403 0.072241 0.008555 0.186539 0.045182 -0.024314 0.155357
8.510753 0.123534 0.064714 0.234427 0.095282 0.035872 0.208397 0.068051 0.004317 0.182459 0.040904 -0.028647 0.151189
8.488099 0.119585 0.060705 0.230524 0.091200 0.031716 0.204390 0.063860 0.000078 0.178379 0.036626 -0.032979 0.147021
8.465499 0.115636 0.056697 0.226621 0.087118 0.027560 0.200383 0.059669 -0.004160 0.174299 0.032348 -0.037312 0.142853
8.442952 0.111656 0.052662 0.222682 0.083005 0.023375 0.196335 0.055448 -0.008423 0.170185 0.028042 -0.041667 0.138652
8.420460 0.107596 0.048563 0.218657 0.078815 0.019117 0.192186 0.051151 -0.012750 0.165986 0.023665 -0.046081 0.134370
8.398021 0.103537 0.044463 0.214632 0.074625 0.014858 0.188038 0.046854 -0.017076 0.161787 0.019288 -0.050494 0.130088
8.375635 0.099477 0.040364 0.210606 0.070434 0.010599 0.183889 0.042558 -0.021403 0.157588 0.014911 -0.054908 0.125806
8.353303 0.095418 0.036264 0.206581 0.066244 0.006341 0.179740 0.038261 -0.025730 0.153389 0.010534 -0.059321 0.121524
8.331024 0.091358 0.032165 0.202556 0.062054 0.002082 0.175592 0.033964 -0.030056 0.149190 0.006157 -0.063735 0.117242
8.308798 0.087299 0.028065 0.198530 0.057863 -0.002176 0.171443 0.029667 -0.034383 0.144990 0.001780 -0.068149 0.112961
8.286624 0.083158 0.023885 0.194422 0.053594 -0.006511 0.167200 0.025296 -0.038768 0.140707 -0.002661 -0.072605 0.108609
8.264504 0.078995 0.019684 0.190292 0.049305 -0.010866 0.162933 0.020906 -0.043170 0.136401 -0.007119 -0.077073 0.104239
8.242437 0.074832 0.015483 0.186163 0.045015 -0.015221 0.158666 0.016517 -0.047571 0.132095 -0.011576 -0.081541 0.099869
8.220422 0.070669 0.011282 0.182033 0.040725 -0.019576 0.154399 0.012127 -0.051973 0.127790 -0.016034 -0.086009 0.095499
8.198459 0.066506 0.007081 0.177903 0.036435 -0.023931 0.150132 0.007737 -0.056374 0.123484 -0.020491 -0.090477 0.091129
8.176549 0.062344 0.002880 0.173773 0.032146 -0.028286 0.145865 0.003347 -0.060775 0.119178 -0.024949 -0.094946 0.086759
8.154691 0.058145 -0.001360 0.169606 0.027819 -0.032678 0.141557 -0.001078 -0.065212 0.114832 -0.029440 -0.099444 0.082349
8.132885 0.053861 -0.005689 0.165351 0.023406 -0.037159 0.137153 -0.005589 -0.069732 0.110392 -0.034009 -0.104017 0.077845
8.111131 0.049578 -0.010019 0.161095 0.018992 -0.041640 0.132748 -0.010099 -0.074252 0.105951 -0.038577 -0.108589 0.073341
8.089428 0.045294 -0.014349 0.156840 0.014578 -0.046120 0.128344 -0.014609 -0.078771 0.101510 -0.043146 -0.113162 0.068836
8.067778 0.041011 -0.018679 0.152584 0.010164 -0.050601 0.123939 -0.019120 -0.083291 0.097069 -0.047715 -0.117734 0.064332
8.046179 0.036727 -0.023009 0.148329 0.005751 -0.055081 0.119535 -0.023630 -0.087811 0.092628 -0.052284 -0.122307 0.059828
8.024631 0.032444 -0.027339 0.144073 0.001337 -0.059562 0.115131 -0.028141 -0.092331 0.088187 -0.056853 -0.126879 0.055324
8.003135 0.028187 -0.031633 0.139829 -0.003021 -0.063970 0.110763 -0.032568 -0.096765 0.083798 -0.061315 -0.131280 0.050925
7.981690 0.023937 -0.035919 0.135587 -0.007365 -0.068361 0.106403 -0.036975 -0.101177 0.079423 -0.065752 -0.135639 0.046552
7.960296 0.019688 -0.040205 0.131345 -0.011709 -0.072751 0.102044 -0.041382 -0.105590 0.075047 -0.070188 -0.139997 0.042179
7.938953 0.015438 -0.044491 0.127104 -0.016053 -0.077142 0.097685 -0.045789 -0.110003 0.070671 -0.074625 -0.144355 0.037806
7.917661 0.011188 -0.048776 0.122862 -0.020397 -0.081533 0.093326 -0.050196 -0.114415 0.066295 -0.079062 -0.148714 0.033434
7.896420 0.006938 -0.053062 0.118621 -0.024741 -0.085923 0.088967 -0.054603 -0.118828 0.061919 -0.083498 -0.153072 0.029061
7.875229 0.002670 -0.057363 0.114363 -0.029100 -0.090324 0.084594 -0.059021 -0.123246 0.057526 -0.087940 -0.157426 0.024680
7.854088 -0.001640 -0.061697 0.110068 -0.033493 -0.094750 0.080191 -0.063463 -0.127675 0.053093 -0.092393 -0.161771 0.020283
7.832998 -0.005951 -0.066032 0.105774 -0.037886 -0.099175 0.075787 -0.067906 -0.132105 0.048661 -0.096846 -0.166115 0.015885
7.811959 -0.010261 -0.070366 0.101479 -0.042279 -0.103600 0.071383 -0.072349 -0.136534 0.044228 -0.101299 -0.170459 0.011487
7.790969 -0.014571 -0.074700 0.097184 -0.046672 -0.108025 0.066979 -0.076791 -0.140964 0.039796 -0.105753 -0.174803 0.007089
7.770029 -0.018881 -0.079035 0.092890 -0.051065 -0.112450 0.062575 -0.081234 -0.145393 0.035363 -0.110206 -0.179147 0.002692
