#Best-fitting galaxy quenched fractions from Trinity.
#z: 0.8
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] Quenched_Fraction
9.000000 0.081923
9.100000 0.090156
9.200000 0.099535
9.300000 0.109741
9.400000 0.121046
9.500000 0.133519
9.600000 0.148475
9.700000 0.164512
9.800000 0.182629
9.900000 0.202450
10.000000 0.226968
10.100000 0.254702
10.200000 0.285520
10.300000 0.327807
10.400000 0.368529
10.500000 0.414407
10.600000 0.462739
10.700000 0.509995
10.800000 0.561358
10.900000 0.607662
11.000000 0.657583
11.100000 0.701736
11.200000 0.736817
11.300000 0.773697
11.400000 0.804633
11.500000 0.833473
11.600000 0.855766
