#Best-fitting galaxy quenched fractions from Trinity.
#z: 1.2
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] Quenched_Fraction
9.500000 0.097553
9.600000 0.108679
9.700000 0.121467
9.800000 0.136193
9.900000 0.153981
10.000000 0.173475
10.100000 0.195646
10.200000 0.220859
10.300000 0.250857
10.400000 0.287934
10.500000 0.330644
10.600000 0.373448
10.700000 0.413988
10.800000 0.461403
10.900000 0.510035
11.000000 0.547931
11.100000 0.593537
11.200000 0.635942
11.300000 0.674340
11.400000 0.705064
11.500000 0.735809
11.600000 0.766901
11.700000 0.789022
