#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.673367 9.300000 -39.296399
14.673367 9.350000 -38.678606
14.673367 9.400000 -38.060813
14.673367 9.450000 -37.443021
14.673367 9.500000 -36.825228
14.673367 9.550000 -36.207489
14.673367 9.600000 -35.589750
14.673367 9.650000 -34.972010
14.673367 9.700000 -34.354271
14.673367 9.750000 -33.736605
14.673367 9.800000 -33.118940
14.673367 9.850000 -32.501274
14.673367 9.900000 -31.883608
14.673367 9.950000 -31.266049
14.673367 10.000000 -30.648489
14.673367 10.050000 -30.030929
14.673367 10.100000 -29.413370
14.592654 8.000000 -44.458795
14.592654 8.050000 -44.458795
14.592654 8.100000 -44.458795
14.592654 8.150000 -44.458795
14.592654 8.200000 -44.458795
14.592654 8.250000 -44.458795
14.592654 8.300000 -44.458795
14.592654 8.350000 -44.458795
14.592654 8.400000 -44.458795
14.592654 8.450000 -44.458795
14.592654 8.500000 -44.458795
14.592654 8.550000 -44.458795
14.592654 8.600000 -44.458795
14.592654 8.650000 -44.458795
14.592654 8.700000 -44.458795
14.592654 8.750000 -44.196809
14.592654 8.800000 -43.934822
14.592654 8.850000 -43.672835
14.592654 8.900000 -43.410849
14.592654 8.950000 -42.815891
14.592654 9.000000 -42.220933
14.592654 9.050000 -41.625975
14.592654 9.100000 -41.031017
14.592654 9.150000 -40.419567
14.592654 9.200000 -39.808118
14.592654 9.250000 -39.196668
14.592654 9.300000 -38.585218
14.592654 9.350000 -37.973909
14.592654 9.400000 -37.362600
14.592654 9.450000 -36.751291
14.592654 9.500000 -36.139982
14.592654 9.550000 -35.528766
14.592654 9.600000 -34.917550
14.592654 9.650000 -34.306334
14.592654 9.700000 -33.695118
14.592654 9.750000 -33.084028
14.592654 9.800000 -32.472938
14.592654 9.850000 -31.861848
14.592654 9.900000 -31.250758
14.592654 9.950000 -30.639847
14.592654 10.000000 -30.028937
14.592654 10.050000 -29.418026
14.592654 10.100000 -28.807116
14.592654 10.150000 -28.196459
14.511940 8.000000 -44.288944
14.511940 8.050000 -44.288944
14.511940 8.100000 -44.288944
14.511940 8.150000 -44.288944
14.511940 8.200000 -44.288944
14.511940 8.250000 -44.288944
14.511940 8.300000 -44.288944
14.511940 8.350000 -44.288945
14.511940 8.400000 -44.288945
14.511940 8.450000 -44.288945
14.511940 8.500000 -44.288945
14.511940 8.550000 -44.288945
14.511940 8.600000 -44.288945
14.511940 8.650000 -44.288945
14.511940 8.700000 -44.288945
14.511940 8.750000 -43.895965
14.511940 8.800000 -43.502985
14.511940 8.850000 -43.110005
14.511940 8.900000 -42.717025
14.511940 8.950000 -42.111195
14.511940 9.000000 -41.505365
14.511940 9.050000 -40.899535
14.511940 9.100000 -40.293705
14.511940 9.150000 -39.688788
14.511940 9.200000 -39.083871
14.511940 9.250000 -38.478954
14.511940 9.300000 -37.874037
14.511940 9.350000 -37.269212
14.511940 9.400000 -36.664387
14.511940 9.450000 -36.059562
14.511940 9.500000 -35.454737
14.511940 9.550000 -34.850043
14.511940 9.600000 -34.245350
14.511940 9.650000 -33.640657
14.511940 9.700000 -33.035964
14.511940 9.750000 -32.431450
14.511940 9.800000 -31.826936
14.511940 9.850000 -31.222422
14.511940 9.900000 -30.617908
14.511940 9.950000 -30.013646
14.511940 10.000000 -29.409385
14.511940 10.050000 -28.805123
14.511940 10.100000 -28.200862
14.511940 10.150000 -27.596953
