#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
9.423652 11.450000 0.297403
9.423652 11.500000 0.293802
9.369696 11.000000 0.322136
9.369696 11.050000 0.318489
9.369696 11.100000 0.314842
9.369696 11.150000 0.311156
9.369696 11.200000 0.307470
9.369696 11.250000 0.303784
9.369696 11.300000 0.300098
9.369696 11.350000 0.296507
9.369696 11.400000 0.292917
9.369696 11.450000 0.289327
9.369696 11.500000 0.285737
9.369696 11.550000 0.282447
9.316568 11.000000 0.314598
9.316568 11.050000 0.310960
9.316568 11.100000 0.307322
9.316568 11.150000 0.303656
9.316568 11.200000 0.299990
9.316568 11.250000 0.296324
9.316568 11.300000 0.292658
9.316568 11.350000 0.289101
9.316568 11.400000 0.285545
9.316568 11.450000 0.281988
9.316568 11.500000 0.278432
9.316568 11.550000 0.275191
9.263441 11.000000 0.307060
9.263441 11.050000 0.303431
9.263441 11.100000 0.299802
9.263441 11.150000 0.296156
9.263441 11.200000 0.292510
9.263441 11.250000 0.288864
9.263441 11.300000 0.285218
9.263441 11.350000 0.281695
9.263441 11.400000 0.278173
9.263441 11.450000 0.274650
9.263441 11.500000 0.271127
9.263441 11.550000 0.267936
9.210314 11.000000 0.299522
9.210314 11.050000 0.295902
9.210314 11.100000 0.292282
9.210314 11.150000 0.288656
9.210314 11.200000 0.285030
9.210314 11.250000 0.281404
9.210314 11.300000 0.277778
9.210314 11.350000 0.274289
9.210314 11.400000 0.270800
9.210314 11.450000 0.267311
9.210314 11.500000 0.263822
9.210314 11.550000 0.260680
9.210314 11.600000 0.257538
9.158003 11.000000 0.292434
9.158003 11.050000 0.288840
9.158003 11.100000 0.285246
9.158003 11.150000 0.281658
9.158003 11.200000 0.278070
9.158003 11.250000 0.274482
9.158003 11.300000 0.270894
9.158003 11.350000 0.267457
9.158003 11.400000 0.264019
9.158003 11.450000 0.260582
9.158003 11.500000 0.257144
9.158003 11.550000 0.254067
9.158003 11.600000 0.250989
9.105692 11.000000 0.285346
9.105692 11.050000 0.281778
9.105692 11.100000 0.278210
9.105692 11.150000 0.274660
9.105692 11.200000 0.271110
9.105692 11.250000 0.267560
9.105692 11.300000 0.264010
9.105692 11.350000 0.260624
9.105692 11.400000 0.257238
9.105692 11.450000 0.253852
9.105692 11.500000 0.250466
9.105692 11.550000 0.247453
9.105692 11.600000 0.244441
9.053381 11.000000 0.278258
9.053381 11.050000 0.274716
9.053381 11.100000 0.271175
9.053381 11.150000 0.267663
9.053381 11.200000 0.264150
9.053381 11.250000 0.260638
9.053381 11.300000 0.257126
9.053381 11.350000 0.253792
9.053381 11.400000 0.250457
9.053381 11.450000 0.247122
9.053381 11.500000 0.243787
9.053381 11.550000 0.240840
9.053381 11.600000 0.237892
9.053381 11.650000 0.234945
9.001875 11.000000 0.272704
9.001875 11.050000 0.269177
9.001875 11.100000 0.265649
9.001875 11.150000 0.262135
9.001875 11.200000 0.258622
9.001875 11.250000 0.255109
9.001875 11.300000 0.251595
9.001875 11.350000 0.248236
9.001875 11.400000 0.244877
9.001875 11.450000 0.241518
9.001875 11.500000 0.238159
9.001875 11.550000 0.235157
9.001875 11.600000 0.232155
9.001875 11.650000 0.229153
8.950368 11.000000 0.267151
8.950368 11.050000 0.263637
8.950368 11.100000 0.260123
8.950368 11.150000 0.256608
8.950368 11.200000 0.253094
8.950368 11.250000 0.249579
8.950368 11.300000 0.246064
8.950368 11.350000 0.242681
