#Best-fitting average specific star formation rates from Trinity.
#z: 0.5
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] log10(SSFR)[yr^-1]
10.100000 -9.517430
10.200000 -9.562530
10.300000 -9.613580
10.400000 -9.678960
10.500000 -9.748230
10.600000 -9.820490
10.700000 -9.909140
10.800000 -10.000600
10.900000 -10.099100
11.000000 -10.205000
11.100000 -10.299000
11.200000 -10.412000
11.300000 -10.529600
11.400000 -10.639300
11.500000 -10.758200
