#The number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta).
#z: 1.7-2.6
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -2.100000 -0.327940
12.500000 -1.900000 0.219799
12.500000 -1.700000 0.330044
12.500000 -1.500000 0.331001
12.500000 -1.300000 0.303861
12.500000 -1.100000 0.249312
12.500000 -0.900000 0.079393
12.500000 -0.700000 -0.118852
12.500000 -0.500000 -0.329048
12.500000 -0.300000 -1.099962
12.500000 -0.100000 -1.891090
13.500000 -3.300000 0.268205
13.500000 -3.100000 0.663238
13.500000 -2.900000 0.893620
13.500000 -2.700000 0.987447
13.500000 -2.500000 0.939093
13.500000 -2.300000 0.906878
13.500000 -2.100000 0.837405
13.500000 -1.900000 0.727926
13.500000 -1.700000 0.494777
13.500000 -1.500000 0.372330
13.500000 -1.300000 0.272688
13.500000 -1.100000 0.147415
13.500000 -0.900000 0.052081
13.500000 -0.700000 -0.433358
13.500000 -0.500000 -0.696746
13.500000 -0.300000 -1.250050
13.500000 -0.100000 -2.175590
