#The number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta).
#z: 0.4-0.6
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -1.900000 -1.081453
12.500000 -1.700000 -0.171664
12.500000 -1.500000 0.047887
12.500000 -1.300000 0.127528
12.500000 -1.100000 0.150777
12.500000 -0.900000 0.128452
12.500000 -0.700000 0.045964
12.500000 -0.500000 -0.042067
12.500000 -0.300000 -0.680304
12.500000 -0.100000 -1.733401
13.500000 -2.900000 -0.336677
13.500000 -2.700000 0.543956
13.500000 -2.500000 0.809770
13.500000 -2.300000 0.807525
13.500000 -2.100000 0.806055
13.500000 -1.900000 0.773803
13.500000 -1.700000 0.686839
13.500000 -1.500000 0.566631
13.500000 -1.300000 0.487113
13.500000 -1.100000 0.368229
13.500000 -0.900000 0.267638
13.500000 -0.700000 0.055343
13.500000 -0.500000 -0.054607
13.500000 -0.300000 -0.674116
13.500000 -0.100000 -1.490533
14.500000 -4.300000 0.707743
14.500000 -4.100000 1.821686
14.500000 -3.900000 1.661985
14.500000 -3.700000 1.807165
14.500000 -3.500000 1.723069
14.500000 -3.300000 1.575684
14.500000 -3.100000 1.678803
14.500000 -2.900000 1.477654
14.500000 -2.700000 1.380950
14.500000 -2.500000 1.349579
14.500000 -2.300000 0.952190
14.500000 -2.100000 0.782642
14.500000 -1.900000 0.648867
14.500000 -1.700000 0.653057
14.500000 -1.500000 0.336375
14.500000 -1.300000 0.435954
14.500000 -1.100000 0.313077
14.500000 -0.900000 0.105180
14.500000 -0.700000 0.044749
14.500000 -0.500000 -0.322072
14.500000 -0.300000 -1.173554
