#The number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta).
#z: 0.8-1.2
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -1.900000 -0.641938
12.500000 -1.700000 0.019415
12.500000 -1.500000 0.175850
12.500000 -1.300000 0.218574
12.500000 -1.100000 0.226809
12.500000 -0.900000 0.196020
12.500000 -0.700000 0.032237
12.500000 -0.500000 -0.088627
12.500000 -0.300000 -0.786277
12.500000 -0.100000 -1.653985
13.500000 -2.900000 0.761470
13.500000 -2.700000 0.843226
13.500000 -2.500000 0.898230
13.500000 -2.300000 0.914866
13.500000 -2.100000 0.871856
13.500000 -1.900000 0.803301
13.500000 -1.700000 0.696467
13.500000 -1.500000 0.555672
13.500000 -1.300000 0.491499
13.500000 -1.100000 0.346996
13.500000 -0.900000 0.150088
13.500000 -0.700000 0.026520
13.500000 -0.500000 -0.177694
13.500000 -0.300000 -0.775338
13.500000 -0.100000 -1.260495
14.500000 -4.100000 1.177008
14.500000 -3.900000 1.533555
14.500000 -3.700000 1.703817
14.500000 -3.500000 1.591572
14.500000 -3.300000 1.358094
14.500000 -3.100000 1.439881
14.500000 -2.900000 1.489607
14.500000 -2.700000 1.121243
14.500000 -2.500000 0.945263
14.500000 -2.300000 1.085479
14.500000 -2.100000 0.798442
14.500000 -1.900000 0.636577
14.500000 -1.700000 0.830014
14.500000 -1.500000 0.236931
14.500000 -1.300000 0.460564
14.500000 -1.100000 0.639521
14.500000 -0.900000 0.280656
14.500000 -0.700000 -0.341195
14.500000 -0.500000 -0.352764
14.500000 -0.300000 -1.257720
