#The number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta).
#z: 2.6-4.3
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -2.300000 0.089765
12.500000 -2.100000 0.298110
12.500000 -1.900000 0.383189
12.500000 -1.700000 0.395920
12.500000 -1.500000 0.370987
12.500000 -1.300000 0.260060
12.500000 -1.100000 0.081315
12.500000 -0.900000 -0.113537
12.500000 -0.700000 -0.358709
12.500000 -0.500000 -0.688825
12.500000 -0.300000 -1.487617
12.500000 -0.100000 -2.045236
13.500000 -3.100000 0.155347
13.500000 -2.900000 0.310249
13.500000 -2.700000 0.771837
13.500000 -2.500000 0.861044
13.500000 -2.300000 0.670475
13.500000 -2.100000 0.380281
13.500000 -1.900000 0.312240
13.500000 -1.700000 0.230461
13.500000 -1.500000 -0.195488
13.500000 -1.300000 -0.069676
13.500000 -1.100000 -0.510800
13.500000 -0.900000 -0.143418
13.500000 -0.700000 -0.908745
13.500000 -0.500000 -1.549231
13.500000 -0.300000 -2.680344
