#Average black hole accretion rate (BHAR) to average star formation rate (SFR) ratio as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR/SFR)@log(Mpeak)=12 log10(BHAR/SFR)_16@log(Mpeak)=12 log10(BHAR/SFR)_84@log(Mpeak)=12 log10(BHAR/SFR)@log(Mpeak)=13 log10(BHAR/SFR)_16@log(Mpeak)=13 log10(BHAR/SFR)_84@log(Mpeak)=13 log10(BHAR/SFR)@log(Mpeak)=14 log10(BHAR/SFR)_16@log(Mpeak)=14 log10(BHAR/SFR)_84@log(Mpeak)=14 log10(BHAR/SFR)@log(Mpeak)=15 log10(BHAR/SFR)_16@log(Mpeak)=15 log10(BHAR/SFR)_84@log(Mpeak)=15
9.095026 -14.592738 -15.997283 -13.600014 -12.554003 -13.704557 -11.720472 -10.845217 -11.798969 -10.132181 -9.339859 -10.156825 -8.752454
9.070980 -14.507569 -15.900209 -13.523547 -12.476632 -13.617338 -11.651184 -10.774456 -11.719381 -10.068827 -9.275180 -10.083888 -8.694492
9.046991 -14.423786 -15.804677 -13.448335 -12.400572 -13.531531 -11.583091 -10.704949 -11.641227 -10.006626 -9.211707 -10.012299 -8.637562
9.023060 -14.343815 -15.713389 -13.376574 -12.328120 -13.449608 -11.518288 -10.638894 -11.567021 -9.947598 -9.151554 -9.944417 -8.583470
8.999186 -14.263844 -15.622100 -13.304814 -12.255667 -13.367685 -11.453484 -10.572839 -11.492815 -9.888569 -9.091400 -9.876536 -8.529377
8.975368 -14.183874 -15.530812 -13.233053 -12.183215 -13.285762 -11.388681 -10.506784 -11.418609 -9.829541 -9.031246 -9.808655 -8.475284
8.951607 -14.103903 -15.439524 -13.161293 -12.110762 -13.203839 -11.323878 -10.440729 -11.344403 -9.770513 -8.971092 -9.740774 -8.421192
8.927903 -14.023933 -15.348235 -13.089532 -12.038310 -13.121916 -11.259074 -10.374674 -11.270197 -9.711484 -8.910939 -9.672893 -8.367099
8.904255 -13.943962 -15.256947 -13.017771 -11.965857 -13.039993 -11.194271 -10.308619 -11.195991 -9.652456 -8.850785 -9.605012 -8.313006
8.880664 -13.867480 -15.169721 -12.949146 -11.896642 -12.961668 -11.132277 -10.245593 -11.125261 -9.596088 -8.793486 -9.540350 -8.261322
8.857129 -13.792031 -15.083698 -12.881448 -11.828385 -12.884409 -11.071115 -10.183465 -11.055560 -9.540507 -8.737032 -9.476642 -8.210351
8.833649 -13.716582 -14.997676 -12.813750 -11.760128 -12.807149 -11.009953 -10.121337 -10.985859 -9.484926 -8.680577 -9.412933 -8.159381
8.810226 -13.641133 -14.911653 -12.746053 -11.691871 -12.729890 -10.948791 -10.059209 -10.916159 -9.429346 -8.624123 -9.349225 -8.108410
