#Best-fitting average specific star formation rates from Trinity.
#z: 0.1
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] log10(SSFR)[yr^-1]
8.100000 -9.573000
8.200000 -9.580590
8.300000 -9.587040
8.400000 -9.597610
8.500000 -9.608570
8.600000 -9.620190
8.700000 -9.635220
8.800000 -9.650100
8.900000 -9.666590
9.000000 -9.685120
9.100000 -9.705730
9.200000 -9.725230
9.300000 -9.750280
9.400000 -9.773360
9.500000 -9.798290
9.600000 -9.824850
9.700000 -9.857350
9.800000 -9.884990
9.900000 -9.920470
10.000000 -9.949030
10.100000 -9.995050
10.200000 -10.039800
10.300000 -10.092100
10.400000 -10.149800
10.500000 -10.214800
10.600000 -10.295500
10.700000 -10.364300
10.800000 -10.454300
10.900000 -10.545100
11.000000 -10.636500
11.100000 -10.746100
11.200000 -10.847500
11.300000 -10.957400
11.400000 -11.064700
11.500000 -11.192800
11.600000 -11.293500
11.700000 -11.402500
11.800000 -11.513100
11.900000 -11.617800
