#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.789570 9.300000 -37.882507
14.789570 9.350000 -37.357152
14.789570 9.400000 -36.832462
14.789570 9.450000 -36.307772
14.789570 9.500000 -35.783148
14.789570 9.550000 -35.258525
14.789570 9.600000 -34.733915
14.789570 9.650000 -34.209306
14.789570 9.700000 -33.684707
14.789570 9.750000 -33.160108
14.789570 9.800000 -32.635520
14.789570 9.850000 -32.110932
14.789570 9.900000 -31.586358
14.789570 9.950000 -31.061784
14.789570 10.000000 -30.537228
14.789570 10.050000 -30.012672
14.789570 10.100000 -29.488138
14.737353 8.000000 -41.104746
14.737353 8.050000 -41.104970
14.737353 8.100000 -41.105281
14.737353 8.150000 -41.105592
14.737353 8.200000 -41.106018
14.737353 8.250000 -41.106444
14.737353 8.300000 -41.107025
14.737353 8.350000 -41.107605
14.737353 8.400000 -41.108389
14.737353 8.450000 -41.109174
14.737353 8.500000 -41.110231
14.737353 8.550000 -41.111287
14.737353 8.600000 -41.112705
14.737353 8.650000 -41.114123
14.737353 8.700000 -41.116023
14.737353 8.750000 -41.117923
14.737353 8.800000 -41.120467
14.737353 8.850000 -41.123012
14.737353 8.900000 -40.942397
14.737353 8.950000 -40.761782
14.737353 9.000000 -40.380991
14.737353 9.050000 -40.000200
14.737353 9.100000 -39.441780
14.737353 9.150000 -38.883360
14.737353 9.200000 -38.357748
14.737353 9.250000 -37.832137
14.737353 9.300000 -37.310324
14.737353 9.350000 -36.788511
14.737353 9.400000 -36.267033
14.737353 9.450000 -35.745556
14.737353 9.500000 -35.224116
14.737353 9.550000 -34.702675
14.737353 9.600000 -34.181247
14.737353 9.650000 -33.659819
14.737353 9.700000 -33.138402
14.737353 9.750000 -32.616985
14.737353 9.800000 -32.095581
14.737353 9.850000 -31.574176
14.737353 9.900000 -31.052789
14.737353 9.950000 -30.531401
14.737353 10.000000 -30.010035
14.737353 10.050000 -29.488670
14.737353 10.100000 -28.967333
14.685136 8.000000 -41.008116
14.685136 8.050000 -41.008340
14.685136 8.100000 -41.008652
14.685136 8.150000 -41.008963
14.685136 8.200000 -41.009390
14.685136 8.250000 -41.009818
14.685136 8.300000 -41.010399
14.685136 8.350000 -41.010980
14.685136 8.400000 -41.011767
14.685136 8.450000 -41.012553
14.685136 8.500000 -41.013612
14.685136 8.550000 -41.014670
14.685136 8.600000 -41.016091
14.685136 8.650000 -41.017511
14.685136 8.700000 -41.019415
14.685136 8.750000 -41.021318
14.685136 8.800000 -41.023867
14.685136 8.850000 -41.026416
14.685136 8.900000 -40.753795
14.685136 8.950000 -40.481173
14.685136 9.000000 -39.907701
14.685136 9.050000 -39.334229
14.685136 9.100000 -38.813651
14.685136 9.150000 -38.293073
14.685136 9.200000 -37.774742
14.685136 9.250000 -37.256412
14.685136 9.300000 -36.738141
14.685136 9.350000 -36.219870
14.685136 9.400000 -35.701605
14.685136 9.450000 -35.183340
14.685136 9.500000 -34.665083
14.685136 9.550000 -34.146826
14.685136 9.600000 -33.628579
14.685136 9.650000 -33.110332
14.685136 9.700000 -32.592097
14.685136 9.750000 -32.073862
14.685136 9.800000 -31.555641
14.685136 9.850000 -31.037421
14.685136 9.900000 -30.519219
14.685136 9.950000 -30.001018
14.685136 10.000000 -29.482843
14.685136 10.050000 -28.964667
14.685136 10.100000 -28.446527
14.633436 8.000000 -40.912602
14.633436 8.050000 -40.912827
14.633436 8.100000 -40.913139
14.633436 8.150000 -40.913451
14.633436 8.200000 -40.913880
14.633436 8.250000 -40.914308
14.633436 8.300000 -40.914890
14.633436 8.350000 -40.915473
14.633436 8.400000 -40.916261
14.633436 8.450000 -40.917049
14.633436 8.500000 -40.918109
14.633436 8.550000 -40.919170
14.633436 8.600000 -40.920593
14.633436 8.650000 -40.922017
14.633436 8.700000 -40.923924
14.633436 8.750000 -40.925831
14.633436 8.800000 -40.832039
14.633436 8.850000 -40.738247
14.633436 8.900000 -40.371130
14.633436 8.950000 -40.004013
14.633436 9.000000 -39.451774
14.633436 9.050000 -38.899535
14.633436 9.100000 -38.383039
14.633436 9.150000 -37.866543
14.633436 9.200000 -37.351550
14.633436 9.250000 -36.836557
14.633436 9.300000 -36.321601
14.633436 9.350000 -35.806646
14.633436 9.400000 -35.291694
14.633436 9.450000 -34.776743
14.633436 9.500000 -34.261799
14.633436 9.550000 -33.746855
14.633436 9.600000 -33.231921
14.633436 9.650000 -32.716988
14.633436 9.700000 -32.202067
14.633436 9.750000 -31.687147
14.633436 9.800000 -31.172242
14.633436 9.850000 -30.657336
14.633436 9.900000 -30.142452
14.633436 9.950000 -29.627568
14.633436 10.000000 -29.112714
14.633436 10.050000 -28.597859
14.633436 10.100000 -28.083045
14.581736 8.000000 -40.817089
14.581736 8.050000 -40.817314
14.581736 8.100000 -40.817627
14.581736 8.150000 -40.817940
14.581736 8.200000 -40.818369
14.581736 8.250000 -40.818798
14.581736 8.300000 -40.819382
14.581736 8.350000 -40.819966
14.581736 8.400000 -40.820755
14.581736 8.450000 -40.821545
14.581736 8.500000 -40.822607
14.581736 8.550000 -40.823670
14.581736 8.600000 -40.825096
14.581736 8.650000 -40.826522
14.581736 8.700000 -40.828432
14.581736 8.750000 -40.830343
14.581736 8.800000 -40.640210
14.581736 8.850000 -40.450078
14.581736 8.900000 -39.988466
14.581736 8.950000 -39.526854
14.581736 9.000000 -38.995848
14.581736 9.050000 -38.464842
14.581736 9.100000 -37.952427
14.581736 9.150000 -37.440013
14.581736 9.200000 -36.928357
14.581736 9.250000 -36.416702
14.581736 9.300000 -35.905062
14.581736 9.350000 -35.393422
14.581736 9.400000 -34.881784
14.581736 9.450000 -34.370146
14.581736 9.500000 -33.858515
14.581736 9.550000 -33.346883
14.581736 9.600000 -32.835264
14.581736 9.650000 -32.323644
14.581736 9.700000 -31.812038
14.581736 9.750000 -31.300432
14.581736 9.800000 -30.788842
14.581736 9.850000 -30.277252
14.581736 9.900000 -29.765685
14.581736 9.950000 -29.254119
14.581736 10.000000 -28.742585
14.581736 10.050000 -28.231051
14.581736 10.100000 -27.719562
14.581736 10.150000 -27.208073
14.530036 8.000000 -40.721575
14.530036 8.050000 -40.721801
14.530036 8.100000 -40.722115
14.530036 8.150000 -40.722428
14.530036 8.200000 -40.722858
14.530036 8.250000 -40.723288
14.530036 8.300000 -40.723873
14.530036 8.350000 -40.724458
14.530036 8.400000 -40.725249
14.530036 8.450000 -40.726040
14.530036 8.500000 -40.727105
14.530036 8.550000 -40.728170
14.530036 8.600000 -40.729599
14.530036 8.650000 -40.731027
14.530036 8.700000 -40.732941
14.530036 8.750000 -40.734855
