7.000000 -1.295944 -1.295944 -1.295944 -1.295944
7.100000 -1.370199 -1.370199 -1.370199 -1.370199
7.200000 -1.445178 -1.445178 -1.445178 -1.445178
7.300000 -1.521473 -1.521473 -1.521473 -1.521473
7.400000 -1.598461 -1.598461 -1.598461 -1.598461
7.500000 -1.676795 -1.676795 -1.676795 -1.676795
7.600000 -1.755889 -1.755889 -1.755889 -1.755889
7.700000 -1.836218 -1.836218 -1.836218 -1.836218
7.800000 -1.917865 -1.917865 -1.917865 -1.917865
7.900000 -2.000550 -2.000550 -2.000550 -2.000550
8.000000 -2.084935 -2.084935 -2.084935 -2.084935
8.100000 -2.170335 -2.170335 -2.170335 -2.170335
8.200000 -2.257528 -2.257528 -2.257528 -2.257528
8.300000 -2.345959 -2.345959 -2.345959 -2.345959
8.400000 -2.436012 -2.436012 -2.436012 -2.436012
8.500000 -2.527876 -2.527876 -2.527876 -2.527876
8.600000 -2.621235 -2.621235 -2.621235 -2.621235
8.700000 -2.716899 -2.716899 -2.716899 -2.716899
8.800000 -2.814056 -2.814056 -2.814056 -2.814056
8.900000 -2.913580 -2.913580 -2.913580 -2.913580
9.000000 -3.015098 -3.015098 -3.015098 -3.015098
9.100000 -3.118720 -3.118720 -3.118720 -3.118720
9.200000 -3.225051 -3.225051 -3.225051 -3.225051
9.300000 -3.333445 -3.333445 -3.333445 -3.333445
9.400000 -3.444943 -3.444943 -3.444943 -3.444943
9.500000 -3.558763 -3.558763 -3.558763 -3.558763
9.600000 -3.676061 -3.676061 -3.676061 -3.676061
9.700000 -3.795671 -3.795671 -3.795671 -3.795671
9.800000 -3.919060 -3.919060 -3.919060 -3.919060
9.900000 -4.046016 -4.046016 -4.046016 -4.046016
10.000000 -4.176105 -4.176105 -4.176105 -4.176105
10.100000 -4.310442 -4.310442 -4.310442 -4.310442
10.200000 -4.448117 -4.448117 -4.448117 -4.448117
10.300000 -4.590656 -4.590656 -4.590656 -4.590656
10.400000 -4.737762 -4.737762 -4.737762 -4.737762
10.500000 -4.889182 -4.889182 -4.889182 -4.889182
10.600000 -5.045775 -5.045775 -5.045775 -5.045775
10.700000 -5.207002 -5.207002 -5.207002 -5.207002
10.800000 -5.374663 -5.374663 -5.374663 -5.374663
10.900000 -5.548378 -5.548378 -5.548378 -5.548378
11.000000 -5.727097 -5.727097 -5.727097 -5.727097
11.100000 -5.911276 -5.911276 -5.911276 -5.911276
11.200000 -6.104956 -6.104956 -6.104956 -6.104956
11.300000 -6.306598 -6.306598 -6.306598 -6.306598
11.400000 -6.516987 -6.516987 -6.516987 -6.516987
11.500000 -6.734543 -6.734543 -6.734543 -6.734543
11.600000 -6.954406 -6.954406 -6.954406 -6.954406
11.700000 -7.194098 -7.194098 -7.194098 -7.194098
11.800000 -7.447870 -7.447870 -7.447870 -7.447870
11.900000 -7.724863 -7.724863 -7.724863 -7.724863
12.000000 -8.019206 -8.019206 -8.019206 -8.019206
12.100000 -8.338842 -8.338842 -8.338842 -8.338842
12.200000 -8.672454 -8.672454 -8.672454 -8.672454
12.300000 -9.011185 -9.011185 -9.011185 -9.011185
12.400000 -9.381946 -9.381946 -9.381946 -9.381946
