#The average black hole Eddington ratio (eta) as a function of redshift and black hole mass from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh) log10(eta)
4.000000 7.300000 -0.688230
4.000000 7.400000 -0.689956
4.000000 7.500000 -0.692234
4.000000 7.600000 -0.695154
4.000000 7.700000 -0.699062
4.000000 7.800000 -0.704325
4.000000 7.900000 -0.711137
4.000000 8.000000 -0.719522
4.000000 8.100000 -0.729494
4.000000 8.200000 -0.741184
4.000000 8.300000 -0.754823
4.000000 8.400000 -0.770615
4.000000 8.500000 -0.788646
4.000000 8.600000 -0.808874
4.000000 8.700000 -0.831177
4.000000 8.800000 -0.855387
4.000000 8.900000 -0.881301
4.000000 9.000000 -0.908666
4.000000 9.100000 -0.937193
4.000000 9.200000 -0.966575
4.000000 9.300000 -0.996516
4.000000 9.400000 -1.026752
5.000000 5.000000 -0.492591
5.000000 5.100000 -0.489561
5.000000 5.200000 -0.488200
5.000000 5.300000 -0.488250
5.000000 5.400000 -0.488956
5.000000 5.500000 -0.489365
5.000000 5.600000 -0.488878
5.000000 5.700000 -0.487652
5.000000 5.800000 -0.486416
5.000000 5.900000 -0.485827
5.000000 6.000000 -0.485920
5.000000 6.100000 -0.486127
5.000000 6.200000 -0.485802
5.000000 6.300000 -0.484803
5.000000 6.400000 -0.483589
5.000000 6.500000 -0.482778
5.000000 6.600000 -0.482596
5.000000 6.700000 -0.482720
5.000000 6.800000 -0.482615
5.000000 6.900000 -0.482049
5.000000 7.000000 -0.481291
5.000000 7.100000 -0.480841
5.000000 7.200000 -0.480979
5.000000 7.300000 -0.481560
5.000000 7.400000 -0.482225
5.000000 7.500000 -0.482788
5.000000 7.600000 -0.483435
5.000000 7.700000 -0.484561
5.000000 7.800000 -0.486450
5.000000 7.900000 -0.489100
5.000000 8.000000 -0.492352
5.000000 8.100000 -0.496145
5.000000 8.200000 -0.500656
5.000000 8.300000 -0.506215
5.000000 8.400000 -0.513103
5.000000 8.500000 -0.521438
5.000000 8.600000 -0.531216
5.000000 8.700000 -0.542434
5.000000 8.800000 -0.555164
5.000000 8.900000 -0.569517
5.000000 9.000000 -0.585547
5.000000 9.100000 -0.603195
5.000000 9.200000 -0.622293
