#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
9.477609 11.300000 -4.395093
9.477609 11.350000 -4.182765
9.477609 11.400000 -4.040783
9.477609 11.450000 -3.933958
9.477609 11.500000 -3.848291
9.423652 11.000000 -5.154824
9.423652 11.050000 -5.043973
9.423652 11.100000 -4.955741
9.423652 11.150000 -4.734765
9.423652 11.200000 -4.589011
9.423652 11.250000 -4.480075
9.423652 11.300000 -4.393057
9.423652 11.350000 -4.181687
9.423652 11.400000 -4.040128
9.423652 11.450000 -3.933543
9.423652 11.500000 -3.848030
9.369696 11.000000 -5.150497
9.369696 11.050000 -5.039901
9.369696 11.100000 -4.951829
9.369696 11.150000 -4.731887
9.369696 11.200000 -4.586579
9.369696 11.250000 -4.477891
9.369696 11.300000 -4.391031
9.369696 11.350000 -4.180611
9.369696 11.400000 -4.039474
9.369696 11.450000 -3.933128
9.369696 11.500000 -3.847768
9.369696 11.550000 -3.648671
9.316568 11.000000 -5.148157
9.316568 11.050000 -5.037810
9.316568 11.100000 -4.949896
9.316568 11.150000 -4.730944
9.316568 11.200000 -4.586063
9.316568 11.250000 -4.477613
9.316568 11.300000 -4.390905
9.316568 11.350000 -4.181376
9.316568 11.400000 -4.040637
9.316568 11.450000 -3.934515
9.316568 11.500000 -3.849299
9.316568 11.550000 -3.650983
9.263441 11.000000 -5.145829
9.263441 11.050000 -5.035730
9.263441 11.100000 -4.947972
9.263441 11.150000 -4.730003
9.263441 11.200000 -4.585548
9.263441 11.250000 -4.477335
9.263441 11.300000 -4.390780
9.263441 11.350000 -4.182142
9.263441 11.400000 -4.041802
9.263441 11.450000 -3.935906
9.263441 11.500000 -3.850836
9.263441 11.550000 -3.653307
9.210314 11.000000 -5.143514
9.210314 11.050000 -5.033659
9.210314 11.100000 -4.946057
9.210314 11.150000 -4.729063
9.210314 11.200000 -4.585033
9.210314 11.250000 -4.477058
9.210314 11.300000 -4.390654
9.210314 11.350000 -4.182910
9.210314 11.400000 -4.042970
9.210314 11.450000 -3.937302
9.210314 11.500000 -3.852378
9.210314 11.550000 -3.655643
9.210314 11.600000 -3.520739
9.158003 11.000000 -5.142962
9.158003 11.050000 -5.033343
9.158003 11.100000 -4.945890
9.158003 11.150000 -4.729812
9.158003 11.200000 -4.586181
9.158003 11.250000 -4.478430
9.158003 11.300000 -4.392169
9.158003 11.350000 -4.185246
9.158003 11.400000 -4.045676
9.158003 11.450000 -3.940218
9.158003 11.500000 -3.855430
9.158003 11.550000 -3.659413
9.158003 11.600000 -3.524843
9.105692 11.000000 -5.142411
