#Best-fitting bulge mass-to-total mass ratio as a function of total stellar mass
#z: 2.0
#Ref: Zhang et al. 2021
#log(Mstar) log(Mbulge/Mstar)
10.101002 -0.502092
10.286602 -0.456391
10.472202 -0.415445
10.657802 -0.379156
10.843402 -0.347331
11.029002 -0.319696
11.214602 -0.295923
11.400202 -0.275644
