#Best-fitting bulge mass-to-total mass ratio as a function of total stellar mass
#z: 1.0
#Ref: Zhang et al. 2021
#log(Mstar) log(Mbulge/Mstar)
10.108216 -0.449074
10.235671 -0.417304
10.363126 -0.387783
10.490581 -0.360494
10.618036 -0.335395
10.745491 -0.312426
10.872946 -0.291507
11.000401 -0.272542
11.127856 -0.255424
11.255311 -0.240037
