#The median galaxy UV magnitude (at 1500 Angstrom) as a function of
#halo peak mass function, average star formation rate, from the Universe Machine.
#z: 10
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mpeak) log10(SFR) M_UV
10.100000 -1.420933 -15.926922
10.100000 -0.915402 -16.669048
10.100000 -0.451255 -17.481030
10.100000 0.039452 -18.383072
10.100000 0.568368 -19.386341
10.300000 -1.035762 -16.701937
10.300000 -0.567104 -17.452723
10.300000 -0.129714 -18.200222
10.300000 0.329361 -18.990055
10.300000 0.836640 -19.845007
10.500000 -0.632084 -17.531786
10.500000 -0.222477 -18.205059
10.500000 0.167420 -18.845634
10.500000 0.563955 -19.484669
10.500000 1.008651 -20.124352
10.700000 -0.274734 -18.358044
10.700000 0.143001 -18.945183
10.700000 0.547207 -19.559860
10.700000 0.977322 -20.201990
10.700000 1.473040 -20.818474
10.900000 -0.102095 -18.621552
10.900000 0.367123 -19.420582
10.900000 0.735277 -19.954008
10.900000 1.117204 -20.464865
10.900000 1.530716 -20.931953
11.100000 0.299635 -19.293400
11.100000 0.678611 -19.913361
11.100000 1.026732 -20.413893
11.100000 1.329825 -20.832069
11.100000 1.681631 -21.220772
11.300000 0.596353 -19.760338
11.300000 1.004260 -20.277464
11.300000 1.312222 -20.819914
11.300000 1.508952 -20.979931
11.300000 1.934974 -21.512796
11.500000 0.558220 -19.715006
11.500000 nan nan
11.500000 nan nan
11.500000 nan nan
11.500000 nan nan
11.700000 nan nan
11.700000 nan nan
11.700000 0.620966 -19.488794
11.700000 nan nan
11.700000 nan nan
